cycle_uid,cycle_id,ml_id,lead_id,deal_id,account_id,account_name,ml_stage_start_time,lead_stage_start_time,deal_stage_start_time,ml_stage_end_time,ml_dead_time,lead_stage_end_time,lead_dead_time,deal_stage_current,deal_closing_date,deal_modified_time,deal_is_won,deal_is_lost,deal_pipeline,deal_produkt,deal_amount,ml_owner_current,lead_owner_current,lead_dla_salesa,deal_owner_current,project_type,source_from,source_I_tier,source_II_tier,source_III_tier,source_IV_tier,events_count_total,events_count_lead_stage,events_count_deal_stage,lead_first_meeting_time,lead_meetings_count,lead_meeting1_days,ankiety_count,ankieta_avg_quality,ankieta_avg_meeting,ankieta_presales_primary,ml_days_in_stage,lead_days_in_stage,cycle_to_sales_days
ml:751364000044330050,751364000044330050,751364000044330050,,,,,2025-12-22T14:12:37,,,2025-12-22T14:21:05,2025-12-22T14:21:05,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044330001,751364000044330001,751364000044330001,,,,,2025-12-22T10:47:08,,,2025-12-22T12:49:18,2025-12-22T12:49:18,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044327002,751364000044327002,751364000044327002,,,,,2025-12-22T10:04:45,,,2025-12-22T10:16:02,2025-12-22T10:16:02,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044319023,751364000044312062,751364000044319023,751364000044312062,,,,2025-12-22T17:43:34,2025-12-23T09:39:43,,2025-12-23T09:39:43,,2026-01-09T10:55:29,2026-01-09T10:55:29,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,17.0,
ml:751364000044286069,751364000044286069,751364000044286069,,,,,2025-12-23T00:31:10,,,2025-12-23T09:47:07,2025-12-23T09:47:07,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044286002,751364000044286002,751364000044286002,,,,,2025-12-21T22:02:15,,,2025-12-22T10:21:14,2025-12-22T10:21:14,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044281002,751364000044281002,751364000044281002,,,,,2025-12-21T18:54:22,,,2025-12-22T10:24:48,2025-12-22T10:24:48,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044266051,751364000044300040,751364000044266051,751364000044300040,,,,2025-12-23T10:41:17,2025-12-23T10:50:16,,2025-12-23T10:50:16,,2025-12-23T12:50:02,2025-12-23T12:50:02,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Strona internetowa medidesk,Audyt Tajemniczego Pacjenta 202503,Audyt Tajemniczego Pacjenta 202503,1,0,0,2026-01-15T13:00:00,1,23.0,0,,,,0.0,0.0,
ml:751364000044259002,751364000044283006,751364000044259002,751364000044283006,,,,2025-12-20T08:25:16,2025-12-22T09:59:13,,2025-12-22T09:59:13,,2026-01-09T11:38:20,2026-01-09T11:38:20,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,0,0,0,,0,,0,,,,2.0,18.0,
ml:751364000044249002,751364000044249002,751364000044249002,,,,,2025-12-19T21:50:07,,,2025-12-22T10:25:53,2025-12-22T10:25:53,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,2.0,,
ml:751364000044059002,751364000044198014,751364000044059002,751364000044198014,,,,2025-12-18T08:14:06,2025-12-19T09:39:27,,2025-12-19T09:39:27,,2025-12-19T09:51:07,2025-12-19T09:51:07,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,0.0,
ml:751364000044056002,751364000044056002,751364000044056002,,,,,2025-12-17T23:09:16,,,2025-12-19T10:14:09,2025-12-19T10:14:09,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000044054010,751364000044054010,751364000044054010,,,,,2025-12-18T01:33:36,,,2025-12-19T10:18:06,2025-12-19T10:18:06,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000044053008,751364000044053008,751364000044053008,,,,,2025-12-18T12:55:39,,,2025-12-19T10:23:22,2025-12-19T10:23:22,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000044035027,751364000044216006,751364000044035027,751364000044216006,,,,2025-12-18T12:38:05,,,2025-12-19T08:26:40,2025-12-19T08:26:40,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,0,,,,0.0,,
ml:751364000044014044,751364000043986037,751364000044014044,751364000043986037,,,,2025-12-18T10:44:47,2025-12-18T12:10:05,,2025-12-18T12:10:05,,2026-01-12T18:09:57,2026-01-12T18:09:57,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Strona internetowa medidesk,Audyt Tajemniczego Pacjenta 202503,Audyt Tajemniczego Pacjenta 202503,0,0,0,,0,,0,,,,0.0,25.0,
ml:751364000043948046,751364000044313018,751364000043948046,751364000044313018,,,,2025-12-17T07:46:53,2025-12-22T14:25:56,,2025-12-22T14:25:56,,2026-01-07T10:23:20,2026-01-07T10:23:20,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,5.0,15.0,
ml:751364000043948001,751364000043948001,751364000043948001,,,,,2025-12-16T23:36:47,,,2025-12-17T15:18:26,2025-12-17T15:18:26,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043946001,751364000043946001,751364000043946001,,,,,2025-12-16T22:40:43,,,2025-12-17T15:42:33,2025-12-17T15:42:33,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043940001,751364000043940001,751364000043940001,,,,,2025-12-16T16:14:59,,,2025-12-19T10:29:58,2025-12-19T10:29:58,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,2.0,,
ml:751364000043921010,751364000043921010,751364000043921010,,,,,2025-12-15T18:33:11,,,2025-12-16T09:55:31,2025-12-16T09:55:31,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043916001,751364000043916001,751364000043916001,,,,,2025-12-15T12:18:52,,,2025-12-15T12:21:26,2025-12-15T12:21:26,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043902058,751364000043899074,751364000043902058,751364000043899074,,,,2025-12-17T09:35:01,,,2025-12-17T10:41:23,2025-12-17T10:41:23,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Meddiesk 3.0,Meddiesk 3.0,0,0,0,,0,,0,,,,0.0,,
ml:751364000043894022,751364000043979030,751364000043894022,751364000043979030,,,,2025-12-17T10:42:42,2025-12-17T15:34:34,,2025-12-17T15:34:34,,2025-12-22T11:54:25,2025-12-22T11:54:25,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,4.0,
ml:751364000043863014,751364000043890023,751364000043863014,751364000043890023,,,,2025-12-15T19:49:37,,,2025-12-16T09:15:04,2025-12-16T09:15:04,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,0,,,,0.0,,
ml:751364000043853005,751364000043887001,751364000043853005,751364000043887001,,,,2025-12-15T11:35:16,2025-12-15T11:48:38,,2025-12-15T11:48:38,,2026-01-13T11:05:09,2026-01-13T11:05:09,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,1,1,0,2025-12-18T14:00:00,1,3.0,0,,,,0.0,28.0,
ml:751364000043831016,751364000043831016,751364000043831016,,,,,2025-12-14T21:10:17,,,2025-12-15T09:30:15,2025-12-15T09:30:15,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043821001,751364000043770167,751364000043821001,751364000043770167,,,,2025-12-12T08:40:59,2025-12-12T09:45:09,,2025-12-12T09:45:09,,2025-12-17T12:21:22,2025-12-17T12:21:22,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,1,0,0,2025-12-19T10:00:00,1,7.0,0,,,,0.0,5.0,
ml:751364000043818002,751364000043818002,751364000043818002,,,,,2025-12-11T21:06:09,,,2025-12-12T10:51:28,2025-12-12T10:51:28,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043816033,751364000043816033,751364000043816033,,,,,2025-12-15T09:25:25,,,2025-12-15T10:51:12,2025-12-15T10:51:12,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043813008,751364000043813008,751364000043813008,,,,,2025-12-12T08:17:54,,,2025-12-12T10:53:32,2025-12-12T10:53:32,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043810026,751364000043810026,751364000043810026,,,,,2025-12-14T10:00:18,,,2025-12-15T12:20:53,2025-12-15T12:20:53,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000043797001,751364000043797001,751364000043797001,,,,,2025-12-11T11:02:46,,,2025-12-11T11:11:44,2025-12-11T11:11:44,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043791111,751364000043791111,751364000043791111,,,,,2025-12-13T21:47:40,,,2025-12-15T13:02:33,2025-12-15T13:02:33,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000043791001,751364000043791001,751364000043791001,,,,,2025-12-11T10:47:16,,,2025-12-11T11:13:19,2025-12-11T11:13:19,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043754125,751364000043744081,751364000043754125,751364000043744081,,,,2025-12-12T11:53:48,,,2025-12-12T12:52:07,2025-12-12T12:52:07,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,0,,,,0.0,,
ml:751364000043720020,751364000043731036,751364000043720020,751364000043731036,,,,2025-12-11T13:51:07,,,2025-12-11T14:48:43,2025-12-11T14:48:43,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,1,3.0,,Michał Modzelewski,0.0,,
ml:751364000043704001,751364000043704001,751364000043704001,,,,,2025-12-10T14:52:46,,,2025-12-11T10:08:44,2025-12-11T10:08:44,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043693001,751364000043693001,751364000043693001,,,,,2025-12-10T11:50:31,,,2025-12-10T12:10:22,2025-12-10T12:10:22,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043627001,751364000043681003,751364000043627001,751364000043681003,,,,2025-12-10T08:29:29,2025-12-10T10:49:33,,2025-12-10T10:49:33,,2025-12-12T11:12:50,2025-12-12T11:12:50,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,0,0,0,,0,,0,,,,0.0,2.0,
ml:751364000043614060,751364000043614060,751364000043614060,,,,,2025-12-09T22:19:47,,,2025-12-10T11:28:01,2025-12-10T11:28:01,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043614001,751364000043614001,751364000043614001,,,,,2025-12-09T17:17:25,,,2025-12-10T11:37:08,2025-12-10T11:37:08,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043610013,751364000043610013,751364000043610013,,,,,2025-12-10T00:53:04,,,2025-12-10T11:22:51,2025-12-10T11:22:51,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043605009,751364000043645014,751364000043605009,751364000043645014,,,,2025-12-09T22:12:14,2025-12-10T11:11:01,,2025-12-10T11:11:01,,2025-12-10T11:11:20,2025-12-10T11:11:20,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,0,0,0,,0,,0,,,,0.0,0.0,
ml:751364000043600002,751364000043600002,751364000043600002,,,,,2025-12-08T21:34:36,,,2025-12-09T13:34:33,2025-12-09T13:34:33,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043592008,751364000043549100,751364000043592008,751364000043549100,,,,2025-12-09T09:40:00,2025-12-09T13:59:34,,2025-12-09T13:59:34,,2025-12-09T14:00:01,2025-12-09T14:00:01,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,0.0,
ml:751364000043591029,751364000043591029,751364000043591029,,,,,2025-12-09T19:45:18,,,2025-12-10T11:48:56,2025-12-10T11:48:56,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000043579122,751364000043579122,751364000043579122,,,,,2025-12-09T13:52:29,,,2025-12-09T13:55:55,2025-12-09T13:55:55,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Medidesk 3.0 Sales 20251203,Medidesk 3.0 Sales 20251203,0,0,0,,0,,0,,,,0.0,,
ml:751364000043553074,751364000043553074,751364000043553074,,,,,2025-12-09T19:37:15,,,2025-12-10T09:46:50,2025-12-10T09:46:50,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,0,,,,0.0,,
ml:751364000043529074,751364000043578119,751364000043529074,751364000043578119,,,,2025-12-09T09:01:09,,,2025-12-09T10:35:12,2025-12-09T10:35:12,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,1,5.0,,Michał Modzelewski,0.0,,
ml:751364000043528029,751364000043528029,751364000043528029,,,,,2025-12-08T15:40:02,,,2025-12-08T17:42:03,2025-12-08T17:42:03,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Strona internetowa medidesk,Umów spotkanie,Umów spotkanie,0,0,0,,0,,0,,,,0.0,,
ml:751364000042958100,751364000042958100,751364000042958100,,,,,2025-12-05T04:38:39,,,2025-12-05T10:12:39,2025-12-05T10:12:39,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,0,0,0,,0,,0,,,,0.0,,
ml:751364000042958054,751364000042958054,751364000042958054,,,,,2025-12-04T09:33:11,,,2025-12-04T10:11:25,2025-12-04T10:11:25,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000042958009,751364000042958009,751364000042958009,,,,,2025-12-03T18:02:24,,,2025-12-04T09:02:59,2025-12-04T09:02:59,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000042957131,751364000042957131,751364000042957131,,,,,2025-12-06T20:28:29,,,2025-12-08T09:13:57,2025-12-08T09:13:57,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000042957085,751364000042957085,751364000042957085,,,,,2025-12-05T22:24:02,,,2025-12-08T09:34:19,2025-12-08T09:34:19,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,2.0,,
ml:751364000042957030,751364000042869090,751364000042957030,751364000042869090,,,,2025-12-04T21:08:59,,,2025-12-05T10:51:02,2025-12-05T10:51:02,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,Umów spotkanie FB,Umów spotkanie FB,0,0,0,,0,,0,,,,0.0,,
ml:751364000042956016,751364000042956016,751364000042956016,,,,,2025-12-05T09:15:07,,,2025-12-05T12:54:23,2025-12-05T12:54:23,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000042955017,751364000042955017,751364000042955017,,,,,2025-12-06T00:05:37,,,2025-12-08T09:15:03,2025-12-08T09:15:03,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,2.0,,
ml:751364000042953036,751364000042953036,751364000042953036,,,,,2025-12-07T08:54:02,,,2025-12-08T09:28:37,2025-12-08T09:28:37,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,1.0,,
ml:751364000042951107,751364000042951107,751364000042951107,,,,,2025-12-07T14:28:59,,,2025-12-08T09:31:24,2025-12-08T09:31:24,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000042951055,751364000042951055,751364000042951055,,,,,2025-12-04T08:26:22,,,2025-12-04T09:05:09,2025-12-04T09:05:09,,,,,,False,False,,,,Michał Modzelewski,,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,,
ml:751364000042951009,751364000042922071,751364000042951009,751364000042922071,,,,2025-12-04T00:02:48,2025-12-04T10:21:52,,2025-12-04T10:21:52,,2025-12-12T10:33:59,2025-12-12T10:33:59,,,,False,False,,,,Michał Modzelewski,Michał Modzelewski,,,PreSales,ML,Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,EBook Zmiany w prawie marketingu medycznego,0,0,0,,0,,0,,,,0.0,8.0,
