I_tier,II_tier,Sekcja,III_tier,Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,SUMA
Inbound,Strona internetowa medidesk,bez leada,Medidesk Kontakt EN,0,0,1,0,0,1,0,0,1,2,0,0,5
Inbound,Strona internetowa medidesk,bez leada,Medidesk Kontakt PL,0,1,3,3,2,4,9,8,7,6,1,2,46
Inbound,Strona internetowa medidesk,bez leada,SMS Campaign,0,0,0,0,0,0,0,0,0,0,1,0,1
Inbound,Strona internetowa medidesk,bez leada,Umów spotkanie,0,5,5,2,1,1,4,3,2,2,2,2,29
Inbound,Strona internetowa medidesk,bez leada,Webinar Marafiki 20250409,0,0,1,0,0,0,0,0,0,0,0,0,1
Inbound,Strona internetowa medidesk,z leadem,Audyt Marketingowy 202503,0,0,0,28,8,4,0,0,0,0,0,0,40
Inbound,Strona internetowa medidesk,z leadem,Audyt Tajemniczego Pacjenta 202503,0,0,0,5,1,0,2,1,1,0,9,4,23
Inbound,Strona internetowa medidesk,z leadem,Meddiesk 3.0,0,0,0,0,0,3,5,3,0,2,4,2,19
Inbound,Strona internetowa medidesk,z leadem,Medidesk EDU szkolenia,0,0,1,0,0,0,0,0,0,0,0,0,1
Inbound,Strona internetowa medidesk,z leadem,Medidesk Kontakt EN,0,0,0,0,1,0,0,0,0,0,0,0,1
Inbound,Strona internetowa medidesk,z leadem,Medidesk Kontakt PL,1,2,1,0,2,2,2,2,2,2,2,0,18
Inbound,Strona internetowa medidesk,z leadem,Umów spotkanie,0,10,1,8,2,6,10,6,6,8,9,7,73
Inbound,Webinar,OGÓŁEM,Webinar,0,1,0,0,0,0,0,0,0,0,0,0,1
Inbound,Webinar,z leadem,Webinar,0,1,0,0,0,0,0,0,0,0,0,0,1
Inbound,brak danych,OGÓŁEM,brak danych,0,0,0,0,0,0,0,0,0,0,5,2,7
Inbound,brak danych,bez leada,brak danych,0,0,0,0,0,0,0,0,0,0,4,0,4
Inbound,brak danych,z leadem,brak danych,0,0,0,0,0,0,0,0,0,0,1,2,3
Outbound,brak danych,OGÓŁEM,brak danych,1,1,0,0,0,7,0,0,0,1,0,0,10
Outbound,brak danych,bez leada,brak danych,1,0,0,0,0,6,0,0,0,1,0,0,8
Outbound,brak danych,z leadem,brak danych,0,1,0,0,0,1,0,0,0,0,0,0,2
