NIP;Podsumowanie 360;Ostatnia aktywność Call/Spotkanie;Zielone światło dla AOS;Status klienta (grupa);Wygrany Deal (grupa);Wątpliwość (Deal wygrany, a status != 'jest');Walidacja NIP;Status weryfikacji ZOHO;ID rekordu ZOHO;Nazwa Placówki;Adres;Nr telefonu;Adres email
5631859881;"Nazwa: ZDROWIE SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002279986;"""ZDROWIE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Karola Szymanowskiego 6, 22-100 Chełm;825657252;wojciech.jakub@wp.pl
5632030191;"Nazwa: MIEJSKI SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CHEŁMIE
📄 nie jest/nie był
--------------------
👥 1 🏢 1
🎯 1 [❌ 1 20-05-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002272459;MIEJSKI SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CHEŁMIE;Wołyńska 11, 22-100 Chełm;825630078;sekretariat@mspzozchelm.pl
5632421767;"Nazwa: NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ALMED SPECJALISTYCZNE GABINETY LEKARSKIE SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278023;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ALMED SPECJALISTYCZNE GABINETY LEKARSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Hrubieszowska 54A, 22-100 Chełm;825656655;almed.chelm@wp.pl
5632423625;"Nazwa: TOP MED JOANNA SZAFRANEK SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002280068;TOP-MED. JOANNA SZAFRANEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Juliusza Słowackiego 33, 22-100 Chełm;825654712;biuro@top-med.com.pl
5632424501;"Nazwa: NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ BIOTON S. C. KAMILA FABIAN JOLANTA FABIAN OLGA GRYCIUK
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002286130;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ BIOTON SPÓŁKA CYWILNA KAMILA WEPA JOLANTA FABIAN;Karola Szymanowskiego 6, 22-100 Chełm;660679354;kamfab@wp.pl
5641288894;"Nazwa: PROFMED KLINIKA GRABCZAK
📄 nie jest/nie był
--------------------
🏢 2
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002294350;"Lek. RAFAŁ GRABCZAK Specjalistyczna Praktyka Lekarska Gabinet Ginekologiczny Niepubliczny Zakład Opieki Zdrowotnej "" PROFMED""";Żurka 7, 22-300 Krasnystaw;82-5761888, 602771891;woj_raf@poczta.onet.pl
5641475805;"Nazwa: SP ZOZ KRASNYSTAW
📄 nie jest/nie był
--------------------
👥 12 🏢 3
🧲 1 [❌ 1 22-04-2025]
🎯 2 [❌ 2 20-05-2025]
--------------------
  - 22-07-2025 | 📞 -> Kontakt po Komunikacja z pokoleniem Z - FollowUp Call Mateusz z bernarda Mrozek
  - 11-03-2025 | 📞 -> Połączenie wychodzące do Teresa Basińska
  - 11-03-2025 | 📅 -> Meeting I - SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KRASNYMSTAWIE
  - 11-03-2025 | 📞 -> Oferta szkoleń
  - 11-03-2025 | 📞 -> Call I
  - 11-03-2025 | 🧩 -> Zaktualizować Leada po Meeting I
  - 10-03-2025 | 📞 -> Welcome phone
  - 18-02-2025 | 📅 -> Nowy Spotkanie II
  - 11-02-2025 | 📅 -> Meeting I - SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KRASNYMSTAWIE";22-07-2025;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002272004;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KRASNYMSTAWIE;Sobieskiego 4, 22-300 Krasnystaw;82-5431522;sekretariat@spzozkrasnystaw.pl
5641686318;"Nazwa: GRUPOWA PRAKTYKA LEKARSKA LEKARZE MAŁGORZATA CIEŚLIK BARBARA TROCHIMIUK S. C.
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002287646;"GRUPOWA PRAKTYKA LEKARSKA ""LEKARZE MAŁGORZATA CIEŚLIK,BARBARA TROCHIMIUK SPÓŁKA CYWILNA""";Marszałka Piłsudskiego 1, 22-300 Krasnystaw;825763516;barbaratrochimiuk@wp.pl
5641795668;"Nazwa: PRZYCHODNIA KRASNYSTAW
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278003;SPECJALISTYCZNE CENTRUM MEDYCZNE WA-MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Browarna 6, 22-300 Krasnystaw;825 761 574;anna.kaczorowska@gmail.com
5651337789;"Nazwa: SPZOZ WE WŁODAWIE
📄 nie jest/nie był
--------------------
👥 1 🏢 2
🎯 1 [❌ 1 20-05-2025]
--------------------
  - 06-12-2024 | 📞 -> Połączenie wychodzące do Elżbieta Korszla";06-12-2024;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002272288;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE;Aleja Józefa Piłsudskiego 64, 22-200 Włodawa;82 57 25 801;sekretariat@spzoz.wlodawa.pl
6792854642;"Nazwa: VOXEL NZOZ MCD VOXEL
📄 nie jest/nie był
--------------------
👥 34 🏢 16
🎯 3 [❌ 3 20-05-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000001844363;VOXEL SPÓŁKA AKCYJNA;Wielicka 265, 30-663 Kraków;32 60 60 501;biuro@voxel.pl
7120103781;"Nazwa: INSTYTUT MEDYCYNY WSI
📄 nie jest/nie był
--------------------
👥 6 🏢 2
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002280544;INSTYTUT MEDYCYNY WSI IM. WITOLDA CHODŹKI;Dra Kazimierza Jaczewskiego 2, 20-090 Lublin;817184400;imw@imw.lublin.pl
7121669504;"Nazwa: CENTRUM MEDYCZNE NZOZ MARMED
📄 nie jest/nie był
--------------------
🏢 2
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002300006;Centrum Wielospecjalistycznej Opieki Ambulatoryjnej NZOZ MARMED MARIAN WIADROWSKI;Jarzębinowa 4, 21-040 Świdnik;501 693 846;nzozmarmed@gmail.com
7121739469;"Nazwa: NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PRZYCHODNIA SPECJALISTYCZNA ""MEDICA""""""
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002290334;WALKO BOGDAN NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PRZYCHODNIA SPECJALISTYCZNA MEDICA;Jutrzenki 4, 20-538 Lublin;815277597;bogdanwalko@poczta.onet.pl
7122135822;"Nazwa: CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI
📄 nie jest/nie był
--------------------
👥 9 🏢 2
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002272301;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Dra Kazimierza Jaczewskiego 7, 20-090 Lublin;814541000;cozl@cozl.eu
7122396037;"Nazwa: CENTRUM MEDYCZNE MEDICOS
📄 nie jest/nie był
--------------------
👥 3 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275991;CENTRUM MEDYCZNE MEDICOS SPÓŁKA AKCYJNA;Onyksowa 12, 20-582 Lublin;817408420;cmmedicos@gmail.com
7122410820;"Nazwa: 1 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE
📄 nie jest/nie był
--------------------
👥 12 🏢 2
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002213938;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;aleje Racławickie 23, 20-049 Lublin;817183277;1SZPITALWOJSKOWY@1SZW.PL
7122410926;"Nazwa: PAŃSTWOWY SZPITAL KLINICZNY NR 4
📄 nie jest/nie był
--------------------
👥 24 🏢 1
🧲 1 [❌ 1 22-01-2025]
🎯 1 [❌ 1 20-05-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002213415;UNIWERSYTECKI SZPITAL KLINICZNY NR 4 W LUBLINIE;Dra Kazimierza Jaczewskiego 8, 20-090 Lublin;817244226;SZPITAL@USK4.LUBLIN.PL
7122429274;"Nazwa: SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 1 W LUBLINIE
📄 nie jest/nie był
--------------------
👥 12 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
  - 23-07-2025 | 📞 -> Połączenie wychodzące do UNIWERSYTET MEDYCZNY W LUBLINIE - SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 1 W";23-07-2025;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002213492;UNIWERSYTECKI SZPITAL KLINICZNY NR 1 W LUBLINIE;Stanisława Staszica 16, 20-081 Lublin;5323935;szpital@usk1.pl
7122483842;"Nazwa: SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŚWIDNIKU
📄 nie jest/nie był
--------------------
👥 5 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002213836;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ;Bolesława Leśmiana 4, 21-040 Świdnik;817 514 215;sekretariat@spzozswidnik.pl
7122512992;"Nazwa: PORADNIE OKULISTYCZNE DMOWSKA BEDNARCZUK BOCHNIAK SPÓŁKA PARTNERSKA LEKARZY
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278603;PORADNIE OKULISTYCZNE DMOWSKA, BEDNARCZUK, BOCHNIAK SPÓŁKA PARTNERSKA LEKARZY;Lotników Polskich 22, 21-040 Świdnik;814688881;jdmowska@gmail.com
7122679485;"Nazwa: CENTRUM MEDYCZNE JURANDA JANOWSKI I PARTNERZY LEKARZE
📄 nie jest/nie był
--------------------
👥 2 🏢 1
🧲 1 [❌ 1 22-04-2025]
--------------------
  - 22-01-2025 | 🧩 -> Task to re-attempt - CENTRUM MEDYCZNE JURANDA JANOWSKI I PARTNERZY LEKARZE";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002273952;"CENTRUM MEDYCZNE ""JURANDA"" PACHUCKI I PARTNERZY - LEKARZE";Juranda 9, 20-629 Lublin;815259503;specjal-juranda9@wp.pl
7122691693;"Nazwa: BIO-MEDICAL
📄 nie jest/nie był
--------------------
👥 1 🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002284284;BIO-MEDICAL R. STETTNER SPÓŁKA KOMANDYTOWA;Weteranów 11, 20-038 Lublin;815341565;biuro@bio-medical.lublin.pl
7122742189;"Nazwa: VIS VITALIS DRYGIEL GRALEWSKA ZIELIŃSKA SOKOLIŃSKA CIOŁKO SZYŁKAJTIS LEKARZE SPÓŁKA PARTNERSKA
📄 nie jest/nie był
--------------------
🏢 1
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278467;VIS VITALIS - DRYGIEL, GRALEWSKA-ZIELIŃSKA, SOKOLIŃSKA-CIOŁKO, SZYŁKAJTIS - LEKARZE SPÓŁKA PARTNERSKA;Tomasza Zana 14, 20-601 Lublin;815256713;visvitalis@poczta.fm
7122761749;"Nazwa: GABINETY OKULISTYCZNE SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278544;Gabinety Okulistyczne Spółka z ograniczoną odpowiedzialnością;Spokojna 17/9, 20-066 Lublin;798772244;biuro@naleczow.ocho.pl
7122770576;"Nazwa: CENTRUM MEDYCZNE SANITAS
📄 nie jest/nie był
--------------------
👥 6 🏢 1
🧲 2 [❌ 2 20-05-2025]
--------------------
  - 20-05-2026 | 📞 -> Rozmowa z Centrum Medyczne Sanitas zaplanowana
  - 20-05-2025 | 📞 -> Połączenie wychodzące do Centrum Medyczne Sanitas
  - 19-05-2025 | 📞 -> Połączenie wychodzące do Centrum Medyczne Sanitas
  - 16-05-2025 | 📞 -> Kontakt po Webinarze Marafiki 14/05 z Magdalena Dorota Malawska
  - 15-05-2025 | 📞 -> Połączenie wychodzące do Centrum Medyczne Sanitas";20-05-2025;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275932;"CENTRUM MEDYCZNE ""SANITAS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Okopowa 3, 20-022 Lublin;81 52 87 593;info@cmsanitas.pl
7122893623;"Nazwa: REUMED ZESPÓŁ PORADNI SPECJALISTYCZNYCH
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275933;REUMED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Konrada Wallenroda 2F/4, 20-607 Lublin;815243333;dariuszbchudzik@wp.pl
7122896722;"Nazwa: LEKARZE SPECJALIŚCI SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 3
🎯 1 [❌ 1 20-05-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002278088;"""LEKARZE SPECJALIŚCI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Topolowa 7, 20-352 Lublin;817440652;lekarze.specjalisci@idsl.pl
7122896774;"Nazwa: PRZYCHODNIA SPECJALISTYCZNA HIPOTECZNA 4 SP. Z O. O.
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002276980;PRZYCHODNIA SPECJALISTYCZNA HIPOTECZNA 4 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Hipoteczna 4, 20-027 Lublin;815326180;hipoteczna_4@wp.pl
7122896828;"Nazwa: CENTRUM MEDYCZNE CZECHÓW
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275926;SPECJALISTYKA CZECHÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Aleja Kompozytorów Polskich 8, 20-848 Lublin;81718 72 07;sekretariat@specjalistykaczechow.com
7122988909;"Nazwa: NORMO MED NZOZ
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275925;NORMO-MED LEKARSKA SPÓŁKA PARTNERSKA MONIKA MACIEJCZYK-PENCUŁA NORBERT STACHOWICZ;Spokojna 17/4, 20-066 Lublin;666 140 522;normomed@wp.pl
7123034075;"Nazwa: ALERGOPNEUMA
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275908;PRZYCHODNIA ALERGOLOGICZNO-PULMONOLOGICZNA ALERGOPNEUMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Probostwo 5/1, 20-089 Lublin;606659797;michnar@interia.pl
7123082447;"Nazwa: OKULISTYKA S.C.
📄 nie jest/nie był
--------------------
🏢 2
🎯 2 [❌ 2 20-05-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002387056;OKULISTYKA S.C.;Skautów 11B/21, 20-055 Lublin;601 361 360;biuro@e-okulistyka.pl
7123134210;"Nazwa: CENTRUM ALERGOLOGII
📄 nie jest/nie był
--------------------
🏢 1
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002275892;"""Centrum Alergologii"" Spółka z ograniczoną odpowiedzialnością";Kawaleryjska 10, 20-552 Lublin;814628882;0601059@zoz.org.pl
7123143522;"Nazwa: ŻAGIEL MED SZPITAL PRYWATNY Z PRZYCHODNIĄ SPECJALISTYCZNĄ
📄 nie jest/nie był
--------------------
👥 2 🏢 1
🧲 1 [❌ 1 23-03-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002276379;ALLMEDICA LUBLIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Kazimierza Przerwy-Tetmajera 21, 20-362 Lublin;81 441 08 50;info@allmedica.pl
7123160638;"Nazwa: NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PROFI-MED
📄 nie jest/nie był
--------------------
🏢 2
🧲 1 [❌ 1 22-01-2025]
--------------------
Brak zarejestrowanych aktywności.";;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002281177;PROFI-MED RAFAŁ TARKOWSKI, ANDRZEJ NOWAKOWSKI SPÓŁKA JAWNA;Feliksa Nowowiejskiego 6/I, 20-880 Lublin;600 141 481;profimed.lublin@gmail.com
7123222374;"Nazwa: CM PRZYJAŹNI
📄 nie jest/nie był
--------------------
👥 2 🏢 2
🧲 2 [❌ 2 22-01-2025]
--------------------
  - 15-01-2026 | 📞 -> Rozmowa z NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ CENTRUM MEDYCZNE PRZYJAŹNI zaplanowana
  - 16-06-2025 | 📞 -> Połączenie wychodzące do NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ CENTRUM MEDYCZNE PRZYJAŹNI
  - 11-06-2025 | 📞 -> Połączenie wychodzące do NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ CENTRUM MEDYCZNE PRZYJAŹNI
  - 10-06-2025 | 📞 -> Połączenie wychodzące do NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ CENTRUM MEDYCZNE PRZYJAŹNI
  - 10-06-2025 | 📞 -> Call I";16-06-2025;TAK;nie jest/nie był;NIE;NIE;PRAWIDŁOWY;ISTNIEJE;751364000002276406;CENTRUM MEDYCZNE PRZYJAŹNI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Żwirki i Wigury 4/5, 20-029 Lublin;535045960;agnieszkakuziola@gmail.com
