NIP;Nazwa Placówki;Adres;Nr telefonu;Adres email
5372662467;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MEDYK W TERESPOLU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Stacyjna 2, 21-550 Terespol;833 752 066;medyk.terespol@poczta.fm
5372676920;MK MEDICAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Stefana Batorego 10, 21-500 Biała Podlaska;518107041;biuro@mkmedical.pl
5381275215;MARIOLA MALCZUK - NZOZ, SPECJALISTYCZNA PORADNIA REHABILITACJI KOMPLEKSOWEJ;Warszawska 14, 21-500 Biała Podlaska;83-3432718;nzoz@rehabilitacjabp.pl
5381594311;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM;Wisznicka 111, 21-300 Radzyń Podlaski;834132267;sekretariat@spzozrp.pl
5381594357;Samodzielny Publiczny Zakład Opieki Zdrowotnej w Międzyrzecu Podlaskim;Warszawska 2-4, 21-560 Międzyrzec Podlaski;833 714 011;spzozmc@spzozmc.pl
5381663762;"""KURACJA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Warszawska 17, 21-300 Radzyń Podlaski;833529644;kuracja@hot.pl
5391027140;MEDICA CENTRUM Edward Kisiel;Aleje Zwycięstwa 11, 21-200 Parczew;83-355 02 12;ekisielgabinet@onet.eu
5391137928;GABINET LEKARSKI OKULISTYCZNY ELŻBIETA SAKOWICZ-KOZŁOWSKA;Tęczowa 1, 21-200 Parczew;601796904;sakowicz.kozlowska@wp.pl
5391333279;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE;Kościelna 136, 21-200 Parczew;833 552 102;sekretariat@spzozparczew.pl
5391517973;NZOZ PRZYCHODNIA - CHIRURGICZNO - URAZOWO - ORTOPEDYCZNA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Szpitalna 2B, 21-200 Parczew;83 354-30-99;kamaje@o2.pl
5631041815;"GRAŻYNA MAJKUT-RAUS, NIEPUBLICZNY OŚRODEK DIAGNOSTYCZNO-LECZNICZY ""LASER-MED"" GRAŻYNA MAJKUT-RAUS";Lipowa 27, 22-100 Chełm;82 565-35-61;laser-med.chelm@wp.pl
5631859881;"""ZDROWIE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Karola Szymanowskiego 6, 22-100 Chełm;825657252;wojciech.jakub@wp.pl
5632030191;MIEJSKI SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CHEŁMIE;Wołyńska 11, 22-100 Chełm;825630078;sekretariat@mspzozchelm.pl
5632041444;"""LEKARZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Kolejowa 89, 22-100 Chełm;82-5652857;lekarznzoz@gmail.com
5632421767;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ALMED SPECJALISTYCZNE GABINETY LEKARSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Hrubieszowska 54A, 22-100 Chełm;825656655;almed.chelm@wp.pl
5632423625;TOP-MED. JOANNA SZAFRANEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Juliusza Słowackiego 33, 22-100 Chełm;825654712;biuro@top-med.com.pl
5632424501;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ BIOTON SPÓŁKA CYWILNA KAMILA WEPA JOLANTA FABIAN;Karola Szymanowskiego 6, 22-100 Chełm;660679354;kamfab@wp.pl
5641288894;"Lek. RAFAŁ GRABCZAK Specjalistyczna Praktyka Lekarska Gabinet Ginekologiczny Niepubliczny Zakład Opieki Zdrowotnej "" PROFMED""";Żurka 7, 22-300 Krasnystaw;82-5761888, 602771891;woj_raf@poczta.onet.pl
5641475805;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KRASNYMSTAWIE;Sobieskiego 4, 22-300 Krasnystaw;82-5431522;sekretariat@spzozkrasnystaw.pl
5641686318;"GRUPOWA PRAKTYKA LEKARSKA ""LEKARZE MAŁGORZATA CIEŚLIK,BARBARA TROCHIMIUK SPÓŁKA CYWILNA""";Marszałka Piłsudskiego 1, 22-300 Krasnystaw;825763516;barbaratrochimiuk@wp.pl
5641795668;SPECJALISTYCZNE CENTRUM MEDYCZNE WA-MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Browarna 6, 22-300 Krasnystaw;825 761 574;anna.kaczorowska@gmail.com
5651136134;"ANNA KALICKA-RUTKOWSKA NZOZ ""ANIMED"" OŚRODEK ZDROWIA W URSZULINIE";Nowa 2, 22-234 Urszulin;825713002;animed5@wp.pl
5651337789;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE;Aleja Józefa Piłsudskiego 64, 22-200 Włodawa;82 57 25 801;sekretariat@spzoz.wlodawa.pl
5651405516;"""NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PRZYCHODNIA LEKARZY SPECJALISTÓW I PIELĘGNIAREK: K. JANKOWSKI I PARTNERZY. SPÓŁKA PARTNERSKA""";Piłsudskiego 66, 22-200 Włodawa;825724900;specjalisci@poczta.onet.pl
5651533450;"CENTRUM MEDYCZNE ""VITA"" SKRĘTOWICZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Modrzewiowa 1/1, 22-234 Urszulin;606280099;cmvita@interia.pl
5732425799;"""CENTRUM"" LOGOPEDII SZELIGA SPÓŁKA KOMANDYTOWA";Sienkiewicza 20, 42-256 Olsztyn;343285111;j_szeliga@wp.pl
6751209442;SCANMED SPÓŁKA AKCYJNA;Stefana Okrzei 1A, 03-715 Warszawa;785057972;sekretariat.zarzadu@scanmed.pl
6792854642;VOXEL SPÓŁKA AKCYJNA;Wielicka 265, 30-663 Kraków;32 60 60 501;biuro@voxel.pl
7120103781;INSTYTUT MEDYCYNY WSI IM. WITOLDA CHODŹKI;Dra Kazimierza Jaczewskiego 2, 20-090 Lublin;817184400;imw@imw.lublin.pl
7120151774;"""TOP-MEDICAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Tomasza Zana 29/XIX, 20-601 Lublin;815243409;topmedical@topmedical.pl
7120154583;"SPECJALISTYCZNY ZESPÓŁ MEDYCZNY ""INTERMED"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Bartosza Głowackiego 35, 20-060 Lublin;815332356;INFO@INTERMED.NET.PL
7120305119;NZOZ VIVAMED LEK.MED.ROBERT PLECHAWSKI;Partyzancka 17A, 24-300 Opole Lubelskie;818275577;vivamed9@o2.pl
7121077086;SZWARC BEATA NZOZ NEUR0-PSYCHO-CENTRUM;Stanisława Staszica 22, 20-081 Lublin;815 328 517;beata-szwarc@wp.pl
7121205383;ANNA MARZEC-FATTAH NZOZ ALMED;Konrada Wallenroda 6/5, 20-607 Lublin;501-471-950;anna_fattah@yahoo.com
7121577529;"Monika Sochocka, NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""OKULISTA"" SOCHOCKA MONIKA";Puławska 18/173, 20-046 Lublin;695444645;monikasochocka@wp.pl
7121669504;Centrum Wielospecjalistycznej Opieki Ambulatoryjnej NZOZ MARMED MARIAN WIADROWSKI;Jarzębinowa 4, 21-040 Świdnik;501 693 846;nzozmarmed@gmail.com
7121735431;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NOVITA SPECJALISTYCZNE GABINETY LEKARSKIE ROGUŚ-SKORUPSKA DOROTA;Jana Sawy 1B/5,6, 20-632 Lublin;81 4761807, 694961410;pawskor@tlen.pl
7121739469;WALKO BOGDAN NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ PRZYCHODNIA SPECJALISTYCZNA MEDICA;Jutrzenki 4, 20-538 Lublin;815277597;bogdanwalko@poczta.onet.pl
7122135822;CENTRUM ONKOLOGII ZIEMI LUBELSKIEJ IM. ŚW. JANA Z DUKLI;Dra Kazimierza Jaczewskiego 7, 20-090 Lublin;814541000;cozl@cozl.eu
7122396037;CENTRUM MEDYCZNE MEDICOS SPÓŁKA AKCYJNA;Onyksowa 12, 20-582 Lublin;817408420;cmmedicos@gmail.com
7122410820;1 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE;aleje Racławickie 23, 20-049 Lublin;817183277;1SZPITALWOJSKOWY@1SZW.PL
7122410926;UNIWERSYTECKI SZPITAL KLINICZNY NR 4 W LUBLINIE;Dra Kazimierza Jaczewskiego 8, 20-090 Lublin;817244226;SZPITAL@USK4.LUBLIN.PL
7122429274;UNIWERSYTECKI SZPITAL KLINICZNY NR 1 W LUBLINIE;Stanisława Staszica 16, 20-081 Lublin;5323935;szpital@usk1.pl
7122483842;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ;Bolesława Leśmiana 4, 21-040 Świdnik;817 514 215;sekretariat@spzozswidnik.pl
7122512992;PORADNIE OKULISTYCZNE DMOWSKA, BEDNARCZUK, BOCHNIAK SPÓŁKA PARTNERSKA LEKARZY;Lotników Polskich 22, 21-040 Świdnik;814688881;jdmowska@gmail.com
7122603513;NZOZ PORADNIE OTOLARYNGOLOGICZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;LOTNIKÓW POLSKICH 22/205-207, 21-040 Świdnik;81/7515762;etomasiak@spzozswidnik.pl
7122679485;"CENTRUM MEDYCZNE ""JURANDA"" PACHUCKI I PARTNERZY - LEKARZE";Juranda 9, 20-629 Lublin;815259503;specjal-juranda9@wp.pl
7122691693;BIO-MEDICAL R. STETTNER SPÓŁKA KOMANDYTOWA;Weteranów 11, 20-038 Lublin;815341565;biuro@bio-medical.lublin.pl
7122742189;VIS VITALIS - DRYGIEL, GRALEWSKA-ZIELIŃSKA, SOKOLIŃSKA-CIOŁKO, SZYŁKAJTIS - LEKARZE SPÓŁKA PARTNERSKA;Tomasza Zana 14, 20-601 Lublin;815256713;visvitalis@poczta.fm
7122761749;Gabinety Okulistyczne Spółka z ograniczoną odpowiedzialnością;Spokojna 17/9, 20-066 Lublin;798772244;biuro@naleczow.ocho.pl
7122770576;"CENTRUM MEDYCZNE ""SANITAS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Okopowa 3, 20-022 Lublin;81 52 87 593;info@cmsanitas.pl
7122881258;"""ACS AUDIKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""";Aleja Jana Pawła II 22, 00-133 Warszawa;815 349 797;biuro@audika.pl
7122888680;NZOZ PORADNIA SKÓRNO-WENEROLOGICZNA ANEL-DERM ZBIGNIEW ANDRZEJ KOTOWSKI, BARBARA KOTOWSKA SPÓŁKA JAWNA;Hipoteczna 4, 20-027 Lublin;815324009;anelderm@anelderm.info.pl
7122893623;REUMED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Konrada Wallenroda 2F/4, 20-607 Lublin;815243333;dariuszbchudzik@wp.pl
7122896722;"""LEKARZE SPECJALIŚCI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Topolowa 7, 20-352 Lublin;817440652;lekarze.specjalisci@idsl.pl
7122896774;PRZYCHODNIA SPECJALISTYCZNA HIPOTECZNA 4 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Hipoteczna 4, 20-027 Lublin;815326180;hipoteczna_4@wp.pl
7122896828;SPECJALISTYKA CZECHÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Aleja Kompozytorów Polskich 8, 20-848 Lublin;81718 72 07;sekretariat@specjalistykaczechow.com
7122988909;NORMO-MED LEKARSKA SPÓŁKA PARTNERSKA MONIKA MACIEJCZYK-PENCUŁA NORBERT STACHOWICZ;Spokojna 17/4, 20-066 Lublin;666 140 522;normomed@wp.pl
7122998983;"OŚRODEK KARDIOLOGII INWAZYJNEJ ""IKARDIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Świętokrzyska 43, 20-867 Lublin;815 014 416;biuro@ikardia.pl
7123034075;PRZYCHODNIA ALERGOLOGICZNO-PULMONOLOGICZNA ALERGOPNEUMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Probostwo 5/1, 20-089 Lublin;606659797;michnar@interia.pl
7123082447;OKULISTYKA S.C.;Skautów 11B/21, 20-055 Lublin;601 361 360;biuro@e-okulistyka.pl
7123134210;"""Centrum Alergologii"" Spółka z ograniczoną odpowiedzialnością";Kawaleryjska 10, 20-552 Lublin;814628882;0601059@zoz.org.pl
7123143522;ALLMEDICA LUBLIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Kazimierza Przerwy-Tetmajera 21, 20-362 Lublin;81 441 08 50;info@allmedica.pl
7123160638;PROFI-MED RAFAŁ TARKOWSKI, ANDRZEJ NOWAKOWSKI SPÓŁKA JAWNA;Feliksa Nowowiejskiego 6/I, 20-880 Lublin;600 141 481;profimed.lublin@gmail.com
7123190438;PRAKTYKA OKULISTYCZNA NZOZ ŁOŚ-DUDZIAK, OCHYŃSKA, ŚLUSARSKA-SKOWROŃSKA SPÓŁKA PARTNERSKA LEKARZY;Konrada Wallenroda 2F/5, 20-607 Lublin;815321213;okulistyka@softnet.info.pl
7123194985;ARION SZPITALE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W RESTRUKTURYZACJI;Nowogrodzka 49, 00-695 Warszawa;815065101;SEKRETARIAT.BILGORAJ@ARION-SZPITALE.PL
7123222374;CENTRUM MEDYCZNE PRZYJAŹNI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Żwirki i Wigury 4/5, 20-029 Lublin;535045960;agnieszkakuziola@gmail.com
7123229838;ARION MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Nowogrodzka 49, 00-695 Warszawa;242360900;sekretariat@arionmed.pl
7123285618;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ GEMINI PORADNIA GINEKOLOGICZNO-POŁOŻNICZA ALICJA ZIĘTEK SPÓŁKA JAWNA;Jutrzenki 6/45, 20-538 Lublin;815277385;zietek.alicja@yahoo.com
7123287310;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ VENUS KOŹLAKOWSKA SPÓŁKA JAWNA;Jutrzenki 6/29, 20-538 Lublin;81-526-59-73;gabinet@venus.lublin.pl
7123317815;IMEDICA CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Stanisława Leszczyńskiego 25/U0.09, 20-068 Lublin;606997299;kondracki.bartosz@gmail.com
7123397116;4CARDIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Szpitalna 4C, 23-204 Kraśnik;81 458 77 88;info@4cardia.pl
7123402142;CENTRUM MEDYCZNE MEDISPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Dożynkowa 38/4, 20-223 Lublin;691240341;mcm.lublin@affidea.com
7123439174;MRI - LAB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Gęsia 3/TB.02, 20-719 Lublin;530787238;kontakt@mri-lab.pl
7123479162;REVITA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Bartosza Głowackiego 35, 20-060 Lublin;667896016;revita.rehadm@gmail.com
7131069243;1. WALDEMAR SMOLEŃ 2. Niepubliczny Zakład Opieki Zdrowotnej VENA Waldemar Smoleń;Racławicka 16, 21-040 Świdnik;696466025;waldemarsmolen@wp.pl
7131533315;Niepubliczny Zakład Opieki Zdrowotnej IGNIS Dr med.Alicja Łobińska;Stanisława Skarżyńskiego 12A, 21-040 Świdnik;607888168;biuro@nzoz-ignis.pl
7132373641;"CENTRUM MEDYCZNE ""INTER - MED"" SPÓŁKA CYWILNA";Marszałka Józefa Piłsudskiego 6A, 21-040 Świdnik;81-4683535;inter-med1@tlen.pl
7132393684;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁĘCZNEJ;Krasnystawska 52, 21-010 Łęczna;817526300;sekretariat@szpital.leczna.pl
7132414400;GMINNY OŚRODEK ZDROWIA SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ;Partyzantów 9, 21-013 Puchaczów;7575480;przychodnia@gozpuchaczow.pl
7132450206;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BYCHAWIE;Marszałka Józefa Piłsudskiego 28, 23-100 Bychawa;815669441;spzoz@spzoz.bychawa.pl
7132846648;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NR 1 W BEŁŻYCACH;Przemysłowa 44, 24-200 Bełżyce;815162926;sekretariat.zoz1@powiat.lublin.pl
7141632875;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBARTOWIE;Cicha 14, 21-100 Lubartów;818552041;sekretariat@spzoz-lubartow.pl
7141889887;"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""CENTRUM OKULISTYKI"" S.C.";Cicha 14, 21-100 Lubartów;818 543 947;centrumokulistyki@op.pl
7141925092;"""CENTRUM MEDYCZNE ANAMED"" - ANNA BEDNARSKA SPÓŁKA JAWNA";Kolejowa 5, 21-100 Lubartów;818546384;ANAMED@ANAMED.PL
7142036307;Centrum Alergologii i Laryngologii Sp. z o. o.;Lubelska 79/XI, 21-100 Lubartów;818 200 064;m.glowackachoina@gmail.com
7142051583;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ CENTRUM MEDYCZNE WOLIŃSCY S.C.;Łucka-Kolonia 141, 21-100;818555455;nzozlucka@wp.pl
7151193354;Mariusz Mierzwa;Bursztynowa 14, 22-100 Chełm;792386139;1mariuszmierzwa@wp.pl
7151437626;"STRZELECKA JADWIGA NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""REHABILITACJA""";Świętej Faustyny 6, 23-200 Kraśnik;667881856;nzozrehabilitacja1@o2.pl
7151535381;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W URZĘDOWIE;Hevelke 2, 23-250 Urzędów;818 225 899;albinaneta@gmail.com
7151587679;"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""LEKARZ RODZINNY"" S.C. PIOTR ZWOLSKI EDMUND ZWOLSKI";Rumiankowa 6, 23-200 Kraśnik;607199484;lekarz.r@wp.pl
7151590090;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KRAŚNIKU;Fryderyka Chopina 13, 23-200 Kraśnik;818251366;poczta@spzoz.krasnik.pl
7151878833;"Niepubliczny Zakład Opieki Zdrowotnej Specjalistyczna Przychodnia Okulistyczna ""Oczko"" Spółka jawna, Grażyna Kuźmicka- Michalak i Małgorzata Marzęta";Tysiąclecia 3B, 23-200 Kraśnik;721067779;nzoz.oczko@op.pl
7151891822;DAW-MED M.KOWALSKA, M.KOWALSKI SPÓŁKA JAWNA;Aleja Tysiąclecia 3B, 23-200 Kraśnik;605839175;m.kowalska49@vp.pl
7151923321;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ GABINETY SPECJALISTYCZNE 'MEDIC' SPÓŁKA JAWNA;Tysiąclecia 3 B, 23-200 Kraśnik;797295515;a_pastwa@op.pl
7151928100;Niepubliczny Zakład Opieki Zdrowotnej Neuromed M.I M. Nastaj. Spółka Partnerska;Zygmunta Krasińskiego 8/4, 23-204 Kraśnik;817 430 965;marcinnastaj@gmail.com
7160000053;"ZAKŁAD LECZNICZY ""UZDROWISKO NAŁĘCZÓW"" SPÓŁKA AKCYJNA";Kasztanowa 2, 24-150 Nałęczów;5014356;info@uzdrowisko-naleczow.com.pl
7160024177;PHU „Zbyszko” Zbigniew Wacławski;Zygmunta Wróblewskiego 18/3,4, 24-100 Puławy;818873084;odr.pulawy@wp.pl
7161893716;CENTRUM MEDYCZNE INTERNUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;"gen. Fieldorfa ""Nila"" 10, 24-100 Puławy";818200300;dyrekcja@internus.pl
7162142969;"ZAKŁAD OPIEKI ZDROWOTNEJ ""MEDICAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Tysiąclecia Państwa Polskiego 10, 24-110 Puławy;814731342;BIURO@ZOZMEDICAL.COM.PL
7162201554;OŚRODEK CHIRURGII OKA PROF. ZAGÓRSKIEGO W NAŁĘCZOWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Aleja Stanisława Małachowskiego 5, 24-140 Nałęczów;798772244;biuro@naleczow.ocho.pl
7162209188;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W DĘBLINIE;Rynek 14, 08-530 Dęblin;81 475 47 50;kontakt@spzozdeblin.pl
7162238942;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Józefa Bema 1, 24-100 Puławy;81 45 02 274;spzoz@szpitalpulawy.pl
7162270294;6 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ;Szpitalna 2, 08-530 Dęblin;815-518-503;sekretariat@szpitaldeblin.pl
7162289514;ESCULAP S.C. R.CHWEDOROWICZ, A.ŁABANOWSKA;Partyzantów 43, 24-100 Puławy;818883307;info@esculapsc.pulawy.pl
7162346399;ALL MED CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Zielona 10 A, 24-100 Puławy;818886644;allmed@onet.com.pl
7162348501;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W NAŁĘCZOWIE;Kolejowa 7, 24-150 Nałęczów;815014050;SPZOZNAL@POCZTA.ONET.PL
7162353040;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MEDIVITA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Warszawska 100, 08-500 Ryki;818655858;sekretariat@medivita.pl
7162503203;Przychodnia Kolejowa-Niepubliczny Zakład Opieki Zdrowotnej Spółka z ograniczoną odpowiedzialnością;Kolejowa 20, 08-530 Dęblin;814 724 542;przych-kolejowa@tlen.pl
7162615646;"NZOZ ""ZDROWIE"" S.C. MAŁGORZATA BIELECKA, KRZYSZTOF LASKOWSKI";Zygmunta Wróblewskiego 18/13 I 14, 24-100 Puławy;818880200;infozdrowie@gmail.com
7162820725;BIO-RELAX CENTRUM MEDYCZNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Zielona 28A, 24-100 Puławy;818863902;biuro@bio-relax.pulawy.pl
7171650346;SPÓŁKA CYWILNA ARTUR DURAKIEWICZ, DOROTA DURAKIEWICZ;Parkowa 15, 24-340 Józefów N/Wisłą;81-8284777;lidekw@tlen.pl
7171830083;POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Przemysłowa 4 A, 24-300 Opole Lubelskie;818 272 278;sekretariat@pczol.pl
8212025575;"""CENTRUM MEDYCZNO-DIAGNOSTYCZNE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Generała Franciszka Kleeberga 2, 08-110 Siedlce;256440740;biuro@centrum.med.pl
8251633669;Katarzyna Nowicka prowadząca działalność pod nazwą Gabinet Logopedyczny Katarzyna Nowicka;Bystrzyca 121, 21-411;697661088;nowickakatarzyna@poczta.onet.pl
