Reference Key;Default Language;pl
msg.error.checkin.unpaid.ticket.not.allowed;Checking in attendees with unpaid tickets is restricted for this event;Odprawianie uczestników z nieopłaconymi biletami jest zablokowane dla tego wydarzenia
msg.ticket.id.login.email.id;You have signed in with the {ticketId} ticket ID that is associated to below email address;Zalogowałeś się za pomocą ID biletu {ticketId} powiązanego z poniższym adresem e-mail
msg.compare.ticket.class.benefits;Compare ticket class benefits;Porównaj korzyści klas biletów
lbl.resend.magic.link;Resend Magic Link;Wyślij ponownie magiczny link
msg.err.exprd.prspct.login.lnk;Oops! Looks like this link has expired.  Please try signing again with your email address or ticket ID and head to Profile Settings to change your email settings.;Ups! Wygląda na to, że ten link wygasł. Spróbuj ponownie zalogować się za pomocą adresu e-mail lub ID biletu i przejdź do Ustawień profilu, aby zmienić ustawienia e-mail.
msg.err.sign.in.fail;Sorry, you couldn't be signed in to the website.  Please try again later.;Przepraszam, nie udało się zalogować do strony. Spróbuj ponownie później.
msg.err.exprd.regen.magic.lnk;Oops! Looks like the magic link has expired.  Please try signing again with your email address or ticket ID.;Ups! Wygląda na to, że magiczny link wygasł. Spróbuj ponownie zalogować się za pomocą adresu e-mail lub ID biletu.
msg.err.regen.magic.lnk;Oops! Looks like the magic link has expired. You can sign in again with your email address or ticket ID, or simply request for the magic link again.;Ups! Wygląda na to, że magiczny link wygasł. Możesz zalogować się ponownie używając swojego adresu e-mail lub ID biletu, albo po prostu poprosić o nowy magiczny link.
msg.ticket.id.invalid;You have entered an invalid ticket ID;Wpisałeś nieprawidłowy ID biletu
lbl.enter.otp;Enter OTP;Wprowadź kod OTP
lbl.enter.ticket.id;Enter Your Ticket ID;Wprowadź swój identyfikator biletu
msg.tkt.otp.reassign.success;Ticket has been assigned to your email address {emailId};Bilet został przypisany do Twojego adresu e-mail {emailId}
msg.err.otp.long;OTP is too long;Kod OTP jest za długi
msg.err.otp.not.int;OTP must be a number;Kod OTP musi być liczbą
msg.err.otp.not.empty;OTP can't be empty;Kod OTP nie może być pusty
msg.tkt.otp.sent.to;We've sent an OTP to {emailId};Wysłaliśmy kod OTP na {emailId}
lbl.resend;Resend;Wyślij ponownie
msg.ticket.otp.sent.to;OTP will be sent to this email address;Kod OTP zostanie wysłany na ten adres e-mail
msg.enter.otp;Enter your OTP to verify;Wprowadź swój kod OTP, aby zweryfikować
lbl.otp.expires.in;OTP Expires In;kod OTP wygasa za
lbl.resend.code;Resend Code;Wyślij kod ponownie
msg.event.sign.in.description;Sign in to the website to participate in the event;Zaloguj się na stronie, aby wziąć udział w wydarzeniu
lbl.enter.email.or.ticket.id;Email Address or Ticket ID;Adres e-mail lub ID biletu
msg.email.or.ticket.id;Email or Ticket ID;Email lub ID biletu
msg.sent.sign.in.email;We've just sent a sign-in email to <strong>{emailId}</strong>;Właśnie wysłaliśmy e-mail do logowania na <strong>{emailId}</strong>
lbl.done;Done;Gotowe
lbl.check.inbox;Check Your Inbox!;Sprawdź swoją skrzynkę!
lbl.or;OR;LUB
msg.error.attendee.ticket.id.enter;Ticket ID cannot be empty;Identyfikator biletu nie może być pusty
msg.error.attendee.ticket.too.long;Ticket ID can't exceed 50 characters;ID biletu nie może przekraczać 50 znaków
msg.error.attendee.last.name.too.long;The last name of the attendee can't exceed 100 characters;Nazwisko uczestnika nie może mieć więcej niż 100 znaków
msg.error.attendee.last.name.invalid;"Attendee can't have "", <, or > in the last name";"Nazwisko uczestnika nie może zawierać "", < ani >"
msg.error.user.email.empty;Please enter email address;Wprowadź adres e-mail
msg.error.user.email.invalid;Please enter a valid email address;Wprowadź poprawny adres e-mail
msg.sent.otp.to.email.id;Enter the OTP sent to <strong>{emailId}</strong>;Wprowadź kod OTP wysłany na <strong>{emailId}</strong>
msg.sent.magic.link.with.otp.to.email.id;We've just sent an email to <strong>{emailId}</strong> with an OTP and an option to sign in;Wysłaliśmy właśnie e-mail na adres <strong>{emailId}</strong> z kodem OTP i opcją zalogowania się
msg.click.link.to.sign.in;Click the link in the email to sign in;Kliknij link w e-mailu, aby się zalogować
lbl.otp;OTP;kod OTP
lbl.validate.otp;Validate OTP;Zweryfikuj kod OTP
lbl.next;Next;Dalej
lbl.remember.me;Remember Me;Zapamiętaj mnie
lbl.didnt.receive.otp;Didn't Receive the OTP?;Nie otrzymałeś kodu OTP?
lbl.didnt.receive.signin.email;Didn't Receive the Email?;Nie otrzymałeś e-maila?
msg.login.not.allowed.for.email;This email address can't be used to sign into the event website;Tego adresu e-mail nie możesz użyć do logowania na stronie wydarzenia
lbl.zoho;Zoho;Zoho
lbl.google;Google;Google
lbl.yahoo;Yahoo;Yahoo
msg.federated.sign.in;Or sign in with;lub zaloguj się przez
lbl.share.image;Share Image;Udostępnij obraz
lbl.copy.url;Copy URL;Kopiuj URL
msg.success.link.copied;URL copied;URL skopiowany
lbl.continue;Continue;Kontynuuj
lbl.get.otp;Get OTP;Pobierz kod OTP
msg.ticket.id.login.text;Ticket ID and first or last name;ID biletu i imię lub nazwisko
msg.no.ticket.associated.error;No ticket associated with this email address;Brak biletu powiązanego z tym adresem e-mail
lbl.continue.as.visitor;Continue as Visitor;Kontynuuj jako gość
error.msg.no.ticket.associated.for.federated.login;No ticket associated with this {tpServiceName} account;Brak powiązanego biletu z tym kontem {tpServiceName}
msg.email.not.valid;You have entered an invalid email address;Wpisałeś nieprawidłowy adres e-mail
msg.error.attendee.name.enter;Please enter the name of the attendee;Wpisz imię uczestnika
lbl.get.sign.in.email;Get Sign-in Email;Pobierz e-mail do logowania
msg.error.attendee.email.or.ticket.id.enter;Please enter your email address or ticket ID;Podaj swój adres e-mail lub ID biletu
msg.error.enter.valid.attendee.ticket.id;Please enter your ticket ID;Wprowadź swój identyfikator biletu
msg.login.with.email.address.or.ticket;Sign in with email address or ticket ID;Zaloguj się za pomocą adresu e-mail lub ID biletu
msg.login.with.email.or.ticket.mobile;Sign in with email or ticket ID;Zaloguj się za pomocą e-maila lub ID biletu
lbl.ticket.id.and.name;Ticket ID and Name;ID biletu i nazwa
msg.no.attendee.found;Attendee not found for given attendeeId;Nie znaleziono uczestnika o podanym attendeeId
msg.error.attendee.check.in.not.during.event;We apologize, you can check in attendees only during the event.;Przepraszamy, możesz odprawiać uczestników tylko podczas wydarzenia.
msg.error.checkin.attend.mode.not.allowed;The mode of attending selected is not allowed for this ticket;Wybrany sposób uczestnictwa nie jest dozwolony dla tego biletu
msg.error.checkin.attend.mode.venue;You can't self check in through the website as this is a <strong>Venue only</strong> ticket. Please ask the event organizer to check you into the event.;Nie możesz samodzielnie się zameldować przez stronę, ponieważ to <strong>tylko bilet na miejscu</strong>. Poproś organizatora wydarzenia o zameldowanie Cię na wydarzeniu.
msg.cannot.check.in.for.session.as.attendee.not.valid;Sorry, this attendee couldn't be checked in as their ticket has been canceled.;Niestety, nie mogłeś zameldować tego uczestnika, ponieważ jego bilet został anulowany.
msg.error.cant.check.in.attendee;The ticket is not allowed to chekin for this day;Bilet nie ma uprawnień do zameldowania na ten dzień
msg.error.checkin.unpaid.ticket.not.allowed;Checking in attendees with unpaid tickets is restricted for this event;Odprawianie uczestników z nieopłaconymi biletami jest zablokowane dla tego wydarzenia
msg.error.cannot.checkin;Sorry, check-in failed. Please try again later.;Przepraszam, nie udało się zameldować. Spróbuj ponownie później.
lbl.ticket.class;Ticket Class;Klasa biletu
lbl.order.summary;Order Summary;Podsumowanie zamówienia
lbl.event.ticket;Event Tickets;Bilety na wydarzenie
lbl.sessions;Sessions;Sesje
lbl.companion.tickets;Companion Tickets;Bilety towarzyszące
lbl.associate.ticket.class;Associate with Primary Ticket;Powiąż z głównym biletem
lbl.attendee.details;Attendee Details;Szczegóły uczestnika
lbl.session.details;Session Details;Szczegóły sesji
lbl.register.companions;Register Companions;Zarejestruj towarzyszy
lbl.event.canceled;Event Canceled;Wydarzenie anulowane
msg.cancel.event.reason;Reason for event cancellation;Powód odwołania wydarzenia
lbl.follow.us.on;Follow Us On;Obserwuj nas
msg.event.has.started;Event has started;Wydarzenie się rozpoczęło
lbl.zoho.calendar;Zoho Calendar;Kalendarz Zoho
lbl.google.calendar;Google Calendar;Kalendarz Google
lbl.ical;iCal;iCal
lbl.outlook;Outlook;Outlook
lbl.day.no;Day - {number};Dzień - {number}
msg.event.is.over;Event has ended;Wydarzenie zakończone
msg.time.is.elapsed;Time is Elapsed;Czas upłynął
msg.evt.start.in;Join us in;Dołącz do nas na
lbl.language;Language;Język
msg.countdown;Countdown;Odliczanie
msg.countdown.ended;Countdown has ended;Odliczanie zakończone
lbl.ok;Ok;Ok
lbl.okay;Okay;OK
lbl.day;Day;Dzień
lbl.night;Night;Noc
lbl.hour;Hour;Godzina
lbl.minute;Minute;Minuta
lbl.second;Second;Drugi
lbl.date;Date;Data
lbl.days;Days;Dni
lbl.hours;Hours;Godziny
lbl.hours.minutes;{hour}h {minutes}m;{hour}h {minutes}m
lbl.hours.number;{hour}h;{hour} godz.
lbl.hour.full;{hour} Hour;{hour} godzina
lbl.hours.full;{hour} Hours;{hour} godzin
lbl.minutes.full;{minutes} Minutes;{minutes} minut
lbl.hour.minutes.full;{hour} Hour {minutes} Minutes;{hour} godz. {minutes} min
lbl.hours.minutes.full;{hour} Hours {minutes} Minutes;{hour} godzin {minutes} minut
lbl.minutes;Minutes;Minuty
lbl.minutes.number;{minutes}m;{minutes} min
lbl.seconds;Seconds;Sekundy
lbl.moment.calendar.duration;{day1} to {day2};{day1} do {day2}
lbl.mo.calendar.lastday;[Yesterday at] h:mm A;Wczoraj o h:mm A
lbl.mo.calendar.sameday;[Today at] h:mm A;Dzisiaj o h:mm A
lbl.mo.calendar.samelse.time;ll [at] h:mm A;ll [o] h:mm A
format.datetime.same.day;{startDate[MMM D, YYYY]};{startDate[MMM D, YYYY]}
format.datetime.same.day.start.time.end.time;{startDate[MMM D, YYYY hh:mm A]} to {endDate[hh:mm A (z)]};{startDate[MMM D, YYYY hh:mm A]} do {endDate[hh:mm A (z)]}
format.datetime.different.days.same.month.same.year;{startDate[MMM D]} to {endDate[D, YYYY]};{startDate[MMM D]} – {endDate[D, YYYY]}
format.datetime.different.days.different.month.same.year;{startDate[MMM D]} to {endDate[MMM D, YYYY]};{startDate[MMM D]} – {endDate[MMM D, YYYY]}
format.datetime.different.days.different.month.different.year;{startDate[MMM DD, YYYY]} to {endDate[MMM DD, YYYY]};{startDate[MMM DD, YYYY]} – {endDate[MMM DD, YYYY]}
format.start.time.end.time.with.timezone;{startDate [hh:mm A]} - {endDate[hh:mm A (z)]};{startDate [hh:mm A]} - {endDate[hh:mm A (z)]}
format.agenda.datetime.same.day;{startDate[ddd, MMM DD, YYYY]};{startDate[ddd, MMM DD, YYYY]}
format.agenda.datetime.different.days.same.month.same.year;{startDate[MMM DD]} - {endDate[DD]};{startDate[MMM DD]} - {endDate[DD]}
format.agenda.datetime.different.days.different.month.same.year;{startDate[MMM DD]} - {endDate[MMM DD]};{startDate[MMM DD]} - {endDate[MMM DD]}
format.agenda.datetime.different.days.different.month.different.year;{startDate[MMM DD]} - {endDate[MMM DD]};{startDate[MMM DD]} - {endDate[MMM DD]}
format.agenda.calendar.datetime.same.day;{startDate[ddd, MMM DD, YYYY]};{startDate[ddd, MMM DD, YYYY]}
format.agenda.calendar.datetime.different.days.same.month.same.year;{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]};{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]}
format.agenda.calendar.datetime.different.days.different.month.same.year;{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]};{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]}
format.agenda.calendar.datetime.different.days.different.month.different.year;{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]};{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]}
format.agenda.printer.datetime.same.day;{startDate[dddd, MMMM DD, YYYY]};{startDate[dddd, MMMM DD, YYYY]}
format.agenda.printer.datetime.different.days.same.month.same.year;{startDate[MMMM DD]} - {endDate[DD, YYYY]};{startDate[MMMM DD]} - {endDate[DD, YYYY]}
format.agenda.printer.datetime.different.days.different.month.same.year;{startDate[MMMM DD]} - {endDate[MMMM DD, YYYY]};{startDate[MMMM DD]} - {endDate[MMMM DD, YYYY]}
format.agenda.printer.datetime.different.days.different.month.different.year;{startDate[MMMM DD, YYYY]} - {endDate[MMMM DD, YYYY]};{startDate[MMMM DD, YYYY]} - {endDate[MMMM DD, YYYY]}
lbl.ticket.id;Ticket ID;ID biletu
msg.event.created.using;This event was created using Zoho Backstage;To wydarzenie zostało utworzone za pomocą Zoho Backstage
msg.create.your.event;Create your event now;Utwórz swoje wydarzenie teraz
lbl.powered.by;Powered By;Zasilane przez
lbl.time.zone;Time Zone;strefa czasowa
lbl.timezone;Timezone;Strefa czasowa
lbl.more;More;Więcej
lbl.change;Change;Zmień
lbl.cancel;Cancel;Anuluj
lbl.cancelled;Cancelled;Anulowano
lbl.canceled;Canceled;Anulowano
lbl.withdrawn;Withdrawn;Wycofano
lbl.reset;Reset;Resetuj
lbl.select.timezone;Select Timezone;Wybierz strefę czasową
lbl.change.timezone;Change Timezone;Zmień strefę czasową
msg.select.timezone.based.on.location;Select time zone automatically based on location;Wybierz strefę czasową automatycznie na podstawie lokalizacji
lbl.search;Search;Szukaj
lbl.search.events;Search Events;Szukaj wydarzeń
lbl.add.to.calendar;Add to Calendar;Dodaj do kalendarza
lbl.close;Close;Zamknij
lbl.update;Update;Aktualizuj
lbl.skip;Skip;Pomiń
lbl.yet.to.respond;Yet to Respond;Jeszcze nie odpowiedział
lbl.attending;Attending;Uczestniczysz
lbl.not.attending;Not Attending;Nieobecny
lbl.maybe;Maybe;Może
msg.err.rsvp.setting.deadline.passed;RSVP response submission deadline passed.;Termin przesłania odpowiedzi RSVP minął.
msg.enter.phone.number;Enter phone number;Wprowadź numer telefonu
lbl.others;Others;Inne
lbl.home;Home;Strona główna
msg.seo.title;{{eventName}};{{eventName}}
lbl.a11y.close.button;Close Button;Przycisk zamknij
lbl.customize;Customize;Dostosuj
lbl.accept.all;Accept All;Akceptuj wszystko
lbl.accept.all.cookies;Accept All Cookies;Akceptuj wszystkie pliki cookie
lbl.always.enabled;Always Enabled;Zawsze włączone
lbl.view.policy;View Policy;Zobacz politykę
lbl.save.my.preferences;Save My Preferences;Zapisz moje preferencje
lbl.allow.cookie;Allow Cookies?;Zezwolić na pliki cookie?
lbl.basic.cookies;Basic Cookies;Podstawowe ciasteczka
lbl.more.details;Learn More;Dowiedz się więcej
lbl.nonfunctional.cookies;Non Functional Cookies;Niefunkcjonalne ciasteczka
msg.basic.cookies.accordionpanel;These cookies are necessary for our website to function properly. They store data when you perform certain actions like updating details or requesting for services like setting up your privacy preferences, filling up forms, or signing into the website. This option can't be switched off in our systems.;Te pliki cookie są niezbędne do prawidłowego działania naszej strony. Przechowują dane, gdy wykonujesz określone czynności, takie jak aktualizacja danych, żądanie usług (np. ustawianie preferencji prywatności), wypełnianie formularzy lub logowanie się na stronie. Tej opcji nie możesz wyłączyć w naszym systemie.
msg.nonfunctional.cookies.accordionpanel;These cookies are necessary to identify visitors and understand their behavior on your website. They track visitors view over a period of time to find out which pages are popular. This data is collected anonymously and is used to measure and optimize your website experience.;Te pliki cookie są niezbędne do identyfikacji odwiedzających i analizy ich zachowań na Twojej stronie. Śledzą, które strony są popularne w czasie. Dane są zbierane anonimowo i służą do mierzenia oraz optymalizacji doświadczenia na stronie.
msg.cookie.setting.content;When you visit our website, it may store or retrieve information from your browser in the form of cookies. This information might be about you, your preferences, or device-related settings and is used to make the website work  more efficiently and give you a personalized web experience. The personal information collected is done so anonymously.;Podczas odwiedzin naszej strony możemy zapisać lub pobrać informacje z Twojej przeglądarki w postaci plików cookie. Informacje te mogą dotyczyć Ciebie, Twoich preferencji lub ustawień urządzenia i służą do sprawniejszego działania strony oraz zapewnienia spersonalizowanego doświadczenia. Zebrane dane osobowe są anonimowe.
msg.dialog.box.desc;This website utilizes cookies to improve performance and provide you with an optimized experience;Ta strona używa plików cookie, aby poprawić wydajność i zapewnić Ci zoptymalizowane doświadczenie
lbl.click.different.cookie.categories;Click on the Different Cookie Categories to Find out More.;Kliknij różne kategorie ciasteczek, aby dowiedzieć się więcej.
lbl.mode.of.attending;Mode of Attending;Sposób uczestnictwa
lbl.venue.only;Venue Only;Tylko miejsce
lbl.online.only;Online Only;tylko online
lbl.venue.and.online;Venue and Online;Miejsce i online
lbl.ticket.class.name;Ticket Class Name;Nazwa klasy biletu
lbl.order.req.placed;Order Request Placed;Złożono prośbę o zamówienie
msg.order.req.succ.subtitle;Your order request has been sent and will be listed in the <i>Your order requests</i> page. You will receive an email when the event organizer responds to your request.;Twoje zgłoszenie zamówienia zostało wysłane i pojawi się na stronie <i>Twoje zgłoszenia zamówień</i>. Otrzymasz e-mail, gdy organizator wydarzenia odpowie na Twoje zgłoszenie.
msg.your.order.requests.header;Your order requests for the <strong>{eventName}</strong> event;Twoje zamówienia na wydarzenie <strong>{eventName}</strong>
msg.no.orders.req.empty;There are no order requests for this event;Brak próśb o zamówienie dla tego wydarzenia
msg.your.orders.req.complete.empty;You have already placed an order request with <strong>{attendeeEmailAddress}</strong> for this event which was accepted by the event organizer. To view your completed order, go to the <strong>Your orders</strong> page. Use this page if you want to place another order request for someone else with a different email address.;Złożyłeś już prośbę o zamówienie dla <strong>{attendeeEmailAddress}</strong> na to wydarzenie, którą zaakceptował organizator wydarzenia. Aby zobaczyć zrealizowane zamówienie, przejdź do strony <strong>Twoje zamówienia</strong>. Skorzystaj z tej strony, jeśli chcesz złożyć kolejną prośbę o zamówienie dla innej osoby z innym adresem e-mail.
msg.confirm.withdraw.order.request;This action will revoke your order request for this event. If you want to attend this event again, you will have to send a new request.;Ta akcja cofnie Twoje zgłoszenie na to wydarzenie. Jeśli chcesz ponownie wziąć udział w tym wydarzeniu, musisz wysłać nowe zgłoszenie.
lbl.manage.registration;Manage Registration;Zarządzaj rejestracją
lbl.return.to.home;Return to Home;Wróć do strony głównej
msg.reg.suc.desc;Thank you for registering for the event;Dziękujemy za rejestrację na wydarzenie
lbl.reg.is.suc;Your Registration is Successful;Twoja rejestracja zakończona sukcesem
lbl.reg.confirmation;Registration Confirmation;Potwierdzenie rejestracji
lbl.receive.ticket;Receive Tickets;Odbierz bilety
lbl.manage.tickets;Manage Tickets;Zarządzaj biletami
lbl.what.next;What's Next;Co dalej
msg.order.reg.confirm.widget.subtitle;An order confirmation email will be sent to you along with an option to sign into the event website and you will receive further details to your email address;"Potwierdzenie zamówienia oraz opcja zalogowania się na stronę wydarzenia zostaną wysłane na Twój adres e-mail; otrzymasz też dalsze informacje na maila."
msg.order.request.reg.confirm.widget.subtitle;Your order request will be reviewed and you will receive further details to your email address;Twoje zamówienie zostanie sprawdzone, a dalsze informacje otrzymasz na swój adres e-mail
msg.order.receive.ticket.widget.subtitle;Ticket holders will receive an online copy of their tickets through email;Posiadacze biletów otrzymają kopię biletów online na e-mail
msg.order.request.receive.ticket.widget.subtitle;After your order is confirmed, you will receive an email with details and an option to sign into the event website. Other ticket holders in your order will also receive an online copy of their ticket via email.;Po potwierdzeniu zamówienia otrzymasz e-mail ze szczegółami i opcją zalogowania się na stronę wydarzenia. Pozostali uczestnicy z Twojego zamówienia również dostaną online kopię swojego biletu e-mailem.
msg.order.manage.tickets.widget.subtitle;Visit the <i>Your orders</i> page when you sign in to get access to tickets and reassign them to others if needed;Odwiedź stronę <i>Twoje zamówienia</i> po zalogowaniu, aby uzyskać dostęp do biletów i przekazać je innym w razie potrzeby
msg.error.cannot.complete.payment;Sorry, you cannot complete payment now. Please contact the event organizer for more information.;Przepraszam, nie możesz teraz dokończyć płatności. Skontaktuj się z organizatorem wydarzenia, aby uzyskać więcej informacji.
lbl.confirm.payment;Confirm Payment;Potwierdź płatność
msg.payment.confirmation.desc;If you've already made the payment, please enter the transaction ID below to process your order.;Jeśli już opłaciłeś zamówienie, wpisz poniżej identyfikator transakcji, aby je przetworzyć.
msg.transaction.id;Transaction ID;Identyfikator transakcji
msg.update.transaction.id;Update Transaction ID;Zaktualizuj ID transakcji
msg.order.prn.no.change.tooltip;You cannot change the payment reference number for this order because a partial payment has already been made using it.;Nie możesz zmienić numeru referencyjnego płatności dla tego zamówienia, ponieważ dokonano już częściowej płatności z jego użyciem.
lbl.payment.verification.pending;Payment Verification Pending;Weryfikacja płatności w toku
lbl.payment.verification.failed;Payment Verification Failed;Weryfikacja płatności nieudana
msg.prn.update.success;Transaction ID updated successfully.;ID transakcji zaktualizowany pomyślnie.
msg.prn.update.error;Error while updating the transactionId.;Błąd podczas aktualizacji transactionId.
msg.error.payment.reference.number.too.long;Payment Transaction ID can't be exceed 200 characters.;Identyfikator transakcji płatności nie może przekraczać 200 znaków.
format.time.space.separated;hh:mm A;gg:mm A
format.month.date.year;MMM DD, YYYY;DD MMM, YYYY
format.weekday.with.date;ddd, MMM DD, YYYY;ddd, MMM DD, YYYY
format.month.with.date;MMM D;D MMM
format.start.to.end;{startDate} to {endDate};{startDate} – {endDate}
lbl.print.agenda.title;Agenda for {eventName};Agenda wydarzenia {eventName}
lbl.page.setup;Page Setup;Ustawienia strony
lbl.landscape;Landscape;poziomy
lbl.portrait;Portrait;Portret
lbl.a4.dimension;A4 ({dimension});A4 ({dimension})
lbl.a3.dimension;A3 ({dimension});A3 ({dimension})
lbl.a5.dimension;A5 ({dimension});A5 ({dimension})
lbl.letter.dimension;Letter ({dimension});Letter ({dimension})
lbl.legal.dimension;Legal ({dimension});Legal ({dimension})
msg.added;Added;Dodano
lbl.add.to.my.sessions;Add to My Sessions;Dodaj do moich sesji
lbl.view.all.speakers;View All Speakers;zobacz wszystkich prelegentów
lbl.address;Address;Adres
lbl.assigned.tickets;Assigned Tickets;Przypisane bilety
lbl.assigned.to;Assigned To;Przypisano do
lbl.become.a.sponsor;Become a Sponsor;Zostań sponsorem
lbl.buy.ticket;Register Now;Zarejestruj się teraz
lbl.payment.method;Payment Method;Metoda płatności
lbl.payment.options.not.found;Payment Options Not Found;Nie znaleziono opcji płatności
lbl.by.venue;By Venue;Według miejsca
lbl.download.my.data;Download My Data;Pobierz moje dane
lbl.get.directions;Get Directions;Wyznacz trasę
lbl.got.it;Got It;Rozumiem
lbl.have.ticket;Have a Ticket?;Masz bilet?
lbl.logo.url;Logo URL;URL logo
lbl.no.thnks;No,Thanks;Nie, dzięki
lbl.pick.session;Pick Session;Wybierz sesję
lbl.raise.request;Raise Request;Zgłoś prośbę
lbl.requested;Requested;Zgłoszono
lbl.reassign;Reassign;Przypisz ponownie
lbl.request.data;Request a Copy of Your Data;Poproś o kopię swoich danych
lbl.request.data.delete;Request to Delete Your Data;Prośba o usunięcie Twoich danych
lbl.show.less;Show Less;Pokaż mniej
lbl.sold.out;Sold Out;Wyprzedane
lbl.ticket.type;Ticket Type;Typ biletu
lbl.ticket.details;Ticket Details;Szczegóły biletu
lbl.tkt.purchased;Ticket Purchased;Bilet kupiony
lbl.view.details;View Details;Zobacz szczegóły
lbl.view.sessions;View Agenda;Zobacz agendę
lbl.view.sponsors;View Sponsors;Zobacz sponsorów
lbl.view.speakers;View Speakers;Zobacz prelegentów
lbl.visit.us;Visit Us;Odwiedź nas
lbl.speakers.sessions;Speaker's Sessions;Sesje prelegenta
lbl.deleted.speaker;Deleted Speaker;Usunięty prelegent
lbl.your.orders;Your Orders;Twoje zamówienia
lbl.your.tickets;Your Tickets;Twoje bilety
lbl.your.sessions;Your Sessions;Twoje sesje
lbl.your.order.requests;Your Order Requests;Twoje prośby o zamówienie
lbl.reason.for.reject;Reason for Denying Request;Powód odrzucenia prośby
lbl.request.by;Requested By;Zgłoszone przez
lbl.status;Status;Status
lbl.rejected;Rejected;Odrzucono
lbl.placed;Placed;Złożono
lbl.withdraw.order.request;Withdraw Order Request;Wycofaj prośbę o zamówienie
lbl.view.reason;View Reason;Zobacz powód
lbl.no.sessions;No Sessions;Brak sesji
lbl.session.tracks;Session Tracks;Ścieżki sesji
lbl.session.track;Session Track;Ścieżka sesji
lbl.session.types;Session Types;Typy sesji
lbl.session.type;Session Type;Typ sesji
lbl.session.details;Session Details;Szczegóły sesji
lbl.event.agenda;Event Agenda;Agenda wydarzenia
msg.agenda.tba;We'll display the event agenda soon;Wkrótce wyświetlimy agendę wydarzenia
msg.sh.exhibitors;Apply to exhibit with us. Our team will get in touch with you to discuss your goals.;Złóż zgłoszenie na wystawcę. Nasz zespół skontaktuje się z Tobą, aby omówić Twoje cele.
lbl.configure.exhibitors;Configure Exhibitors;Skonfiguruj wystawców
lbl.configure.exhibitor.category;Configure Exhibitor Category;Skonfiguruj kategorię wystawcy
msg.exhibitors.empty;There are no exhibitors in this event;Brak wystawców na tym wydarzeniu
msg.configure.exhibitors.for.event;Configure the exhibitors for the event;Skonfiguruj wystawców dla wydarzenia
lbl.apply.to.exhibit;Apply to Exhibit;Złóż wniosek o udział
lbl.exhibitors.listing;Exhibitors Listing;Lista wystawców
