Reference Key;Default Language;pl
msg.error.checkin.unpaid.ticket.not.allowed;Checking in attendees with unpaid tickets is restricted for this event;Rejestracja uczestników z nieopłaconymi biletami jest niedozwolona dla tego wydarzenia
msg.ticket.id.login.email.id;You have signed in with the {ticketId} ticket ID that is associated to below email address;Zalogowałeś się przy użyciu identyfikatora biletu {ticketId}, który jest powiązany z poniższym adresem e-mail
msg.compare.ticket.class.benefits;Compare ticket class benefits;Porównaj korzyści kategorii biletów
lbl.resend.magic.link;Resend Magic Link;Wyślij ponownie magiczny link
msg.err.exprd.prspct.login.lnk;Oops! Looks like this link has expired.  Please try signing again with your email address or ticket ID and head to Profile Settings to change your email settings.;Ups! Wygląda na to, że ten link wygasł. Spróbuj ponownie zalogować się za pomocą adresu e-mail lub identyfikatora biletu i przejdź do ustawień profilu, aby zmienić ustawienia e-mail.
msg.err.sign.in.fail;Sorry, you couldn't be signed in to the website.  Please try again later.;Przepraszamy, nie udało się zalogować na stronie. Spróbuj ponownie później.
msg.err.exprd.regen.magic.lnk;Oops! Looks like the magic link has expired.  Please try signing again with your email address or ticket ID.;Ups! Wygląda na to, że magiczny link wygasł. Spróbuj zalogować się ponownie za pomocą adresu e-mail lub identyfikatora biletu.
msg.err.regen.magic.lnk;Oops! Looks like the magic link has expired. You can sign in again with your email address or ticket ID, or simply request for the magic link again.;Ups! Wygląda na to, że magiczny link wygasł. Możesz zalogować się ponownie za pomocą adresu e-mail lub identyfikatora biletu, albo ponownie poprosić o link.
msg.ticket.id.invalid;You have entered an invalid ticket ID;Wprowadziłeś nieprawidłowy identyfikator biletu
lbl.enter.otp;Enter OTP;Wprowadź kod OTP
lbl.enter.ticket.id;Enter Your Ticket ID;Wprowadź swój identyfikator biletu
msg.tkt.otp.reassign.success;Ticket has been assigned to your email address {emailId};Bilet został przypisany do Twojego adresu e-mail {emailId}
msg.err.otp.long;OTP is too long;Kod OTP jest zbyt długi
msg.err.otp.not.int;OTP must be a number;Kod OTP musi być liczbą
msg.err.otp.not.empty;OTP can't be empty;Kod OTP nie może być pusty
msg.tkt.otp.sent.to;We've sent an OTP to {emailId};Wysłaliśmy kod OTP na adres {emailId}
lbl.resend;Resend;Wyślij ponownie
msg.ticket.otp.sent.to;OTP will be sent to this email address;Kod OTP zostanie wysłany na ten adres e-mail
msg.enter.otp;Enter your OTP to verify;Wprowadź kod OTP, aby potwierdzić
lbl.otp.expires.in;OTP Expires In;Kod OTP wygaśnie za
lbl.resend.code;Resend Code;Wyślij kod ponownie
msg.event.sign.in.description;Sign in to the website to participate in the event;Zaloguj się na stronie, aby wziąć udział w wydarzeniu
lbl.enter.email.or.ticket.id;Email Address or Ticket ID;Adres e-mail lub identyfikator biletu
msg.email.or.ticket.id;Email or Ticket ID;E-mail lub identyfikator biletu
msg.sent.sign.in.email;We've just sent a sign-in email to <strong>{emailId}</strong>;Właśnie wysłaliśmy e-mail logowania na adres {emailId}
lbl.done;Done;Gotowe
lbl.check.inbox;Check Your Inbox!;Sprawdź swoją skrzynkę odbiorczą!
lbl.or;OR;LUB
msg.error.attendee.ticket.id.enter;Ticket ID cannot be empty;Identyfikator biletu nie może być pusty
msg.error.attendee.ticket.too.long;Ticket ID can't exceed 50 characters;Identyfikator biletu nie może przekraczać 50 znaków
msg.error.attendee.last.name.too.long;The last name of the attendee can't exceed 100 characters;Nazwisko uczestnika nie może przekraczać 100 znaków
msg.error.attendee.last.name.invalid;"Attendee can't have "", <, or > in the last name";"Nazwisko uczestnika nie może zawierać znaków "", < ani >"
msg.error.user.email.empty;Please enter email address;Wprowadź adres e-mail
msg.error.user.email.invalid;Please enter a valid email address;Wprowadź prawidłowy adres e-mail
msg.sent.otp.to.email.id;Enter the OTP sent to <strong>{emailId}</strong>;Wprowadź kod OTP wysłany na {emailId}
msg.sent.magic.link.with.otp.to.email.id;We've just sent an email to <strong>{emailId}</strong> with an OTP and an option to sign in;Wysłaliśmy wiadomość e-mail na adres {emailId} z kodem OTP i opcją logowania
msg.click.link.to.sign.in;Click the link in the email to sign in;Kliknij link w e-mailu, aby się zalogować
lbl.otp;OTP;Kod OTP
lbl.validate.otp;Validate OTP;Potwierdź kod OTP
lbl.next;Next;Dalej
lbl.remember.me;Remember Me;Zapamiętaj mnie
lbl.didnt.receive.otp;Didn't Receive the OTP?;Nie otrzymałeś kodu OTP?
lbl.didnt.receive.signin.email;Didn't Receive the Email?;Nie otrzymałeś wiadomości e-mail?
msg.login.not.allowed.for.email;This email address can't be used to sign into the event website;Ten adres e-mail nie może być użyty do logowania się na stronie wydarzenia
lbl.zoho;Zoho;Zoho
lbl.google;Google;Google
lbl.yahoo;Yahoo;Yahoo
msg.federated.sign.in;Or sign in with;Lub zaloguj się przez
lbl.share.image;Share Image;Udostępnij obraz
lbl.copy.url;Copy URL;Skopiuj adres URL
msg.success.link.copied;URL copied;Adres URL skopiowany
lbl.continue;Continue;Kontynuuj
lbl.get.otp;Get OTP;Pobierz kod OTP
msg.ticket.id.login.text;Ticket ID and first or last name;Identyfikator biletu oraz imię lub nazwisko
msg.no.ticket.associated.error;No ticket associated with this email address;Brak biletu powiązanego z tym adresem e-mail
lbl.continue.as.visitor;Continue as Visitor;Kontynuuj jako Gość
error.msg.no.ticket.associated.for.federated.login;No ticket associated with this {tpServiceName} account;Brak biletu powiązanego z tym kontem {tpServiceName}
msg.email.not.valid;You have entered an invalid email address;Wprowadzono nieprawidłowy adres e-mail
msg.error.attendee.name.enter;Please enter the name of the attendee;Wprowadź imię i nazwisko uczestnika
lbl.get.sign.in.email;Get Sign-in Email;
msg.error.attendee.email.or.ticket.id.enter;Please enter your email address or ticket ID;
msg.error.enter.valid.attendee.ticket.id;Please enter your ticket ID;
msg.login.with.email.address.or.ticket;Sign in with email address or ticket ID;
msg.login.with.email.or.ticket.mobile;Sign in with email or ticket ID;
lbl.ticket.id.and.name;Ticket ID and Name;
msg.no.attendee.found;Attendee not found for given attendeeId;
msg.error.attendee.check.in.not.during.event;We apologize, you can check in attendees only during the event.;
msg.error.checkin.attend.mode.not.allowed;The mode of attending selected is not allowed for this ticket;
msg.error.checkin.attend.mode.venue;You can't self check in through the website as this is a <strong>Venue only</strong> ticket. Please ask the event organizer to check you into the event.;
msg.cannot.check.in.for.session.as.attendee.not.valid;Sorry, this attendee couldn't be checked in as their ticket has been canceled.;
msg.error.cant.check.in.attendee;The ticket is not allowed to chekin for this day;
msg.error.checkin.unpaid.ticket.not.allowed;Checking in attendees with unpaid tickets is restricted for this event;
msg.error.cannot.checkin;Sorry, check-in failed. Please try again later.;
lbl.ticket.class;Ticket Class;
lbl.order.summary;Order Summary;
lbl.event.ticket;Event Tickets;
lbl.sessions;Sessions;
lbl.companion.tickets;Companion Tickets;
lbl.associate.ticket.class;Associate with Primary Ticket;
lbl.attendee.details;Attendee Details;
lbl.session.details;Session Details;
lbl.register.companions;Register Companions;
lbl.event.canceled;Event Canceled;
msg.cancel.event.reason;Reason for event cancellation;
lbl.follow.us.on;Follow Us On;
msg.event.has.started;Event has started;
lbl.zoho.calendar;Zoho Calendar;
lbl.google.calendar;Google Calendar;
lbl.ical;iCal;
lbl.outlook;Outlook;
lbl.day.no;Day - {number};
msg.event.is.over;Event has ended;
msg.time.is.elapsed;Time is Elapsed;
msg.evt.start.in;Join us in;
lbl.language;Language;
msg.countdown;Countdown;
msg.countdown.ended;Countdown has ended;
lbl.ok;Ok;
lbl.okay;Okay;
lbl.day;Day;
lbl.night;Night;
lbl.hour;Hour;
lbl.minute;Minute;
lbl.second;Second;
lbl.date;Date;
lbl.days;Days;
lbl.hours;Hours;
lbl.hours.minutes;{hour}h {minutes}m;
lbl.hours.number;{hour}h;
lbl.hour.full;{hour} Hour;
lbl.hours.full;{hour} Hours;
lbl.minutes.full;{minutes} Minutes;
lbl.hour.minutes.full;{hour} Hour {minutes} Minutes;
lbl.hours.minutes.full;{hour} Hours {minutes} Minutes;
lbl.minutes;Minutes;
lbl.minutes.number;{minutes}m;
lbl.seconds;Seconds;
lbl.moment.calendar.duration;{day1} to {day2};
lbl.mo.calendar.lastday;[Yesterday at] h:mm A;
lbl.mo.calendar.sameday;[Today at] h:mm A;
lbl.mo.calendar.samelse.time;ll [at] h:mm A;
format.datetime.same.day;{startDate[MMM D, YYYY]};
format.datetime.same.day.start.time.end.time;{startDate[MMM D, YYYY hh:mm A]} to {endDate[hh:mm A (z)]};
format.datetime.different.days.same.month.same.year;{startDate[MMM D]} to {endDate[D, YYYY]};
format.datetime.different.days.different.month.same.year;{startDate[MMM D]} to {endDate[MMM D, YYYY]};
format.datetime.different.days.different.month.different.year;{startDate[MMM DD, YYYY]} to {endDate[MMM DD, YYYY]};
format.start.time.end.time.with.timezone;{startDate [hh:mm A]} - {endDate[hh:mm A (z)]};
format.agenda.datetime.same.day;{startDate[ddd, MMM DD, YYYY]};
format.agenda.datetime.different.days.same.month.same.year;{startDate[MMM DD]} - {endDate[DD]};
format.agenda.datetime.different.days.different.month.same.year;{startDate[MMM DD]} - {endDate[MMM DD]};
format.agenda.datetime.different.days.different.month.different.year;{startDate[MMM DD]} - {endDate[MMM DD]};
format.agenda.calendar.datetime.same.day;{startDate[ddd, MMM DD, YYYY]};
format.agenda.calendar.datetime.different.days.same.month.same.year;{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]};
format.agenda.calendar.datetime.different.days.different.month.same.year;{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]};
format.agenda.calendar.datetime.different.days.different.month.different.year;{startDate[ddd, MMM DD]} - {endDate[ddd, MMM DD]};
format.agenda.printer.datetime.same.day;{startDate[dddd, MMMM DD, YYYY]};
format.agenda.printer.datetime.different.days.same.month.same.year;{startDate[MMMM DD]} - {endDate[DD, YYYY]};
format.agenda.printer.datetime.different.days.different.month.same.year;{startDate[MMMM DD]} - {endDate[MMMM DD, YYYY]};
format.agenda.printer.datetime.different.days.different.month.different.year;{startDate[MMMM DD, YYYY]} - {endDate[MMMM DD, YYYY]};
lbl.ticket.id;Ticket ID;
msg.event.created.using;This event was created using Zoho Backstage;
msg.create.your.event;Create your event now;
lbl.powered.by;Powered By;
lbl.time.zone;Time Zone;
lbl.timezone;Timezone;
lbl.more;More;
lbl.change;Change;
lbl.cancel;Cancel;
lbl.cancelled;Cancelled;
lbl.canceled;Canceled;
lbl.withdrawn;Withdrawn;
lbl.reset;Reset;
lbl.select.timezone;Select Timezone;
lbl.change.timezone;Change Timezone;
msg.select.timezone.based.on.location;Select time zone automatically based on location;
lbl.search;Search;
lbl.search.events;Search Events;
lbl.add.to.calendar;Add to Calendar;
lbl.close;Close;
lbl.update;Update;
lbl.skip;Skip;
lbl.yet.to.respond;Yet to Respond;
lbl.attending;Attending;
lbl.not.attending;Not Attending;
lbl.maybe;Maybe;
msg.err.rsvp.setting.deadline.passed;RSVP response submission deadline passed.;
msg.enter.phone.number;Enter phone number;
lbl.others;Others;
lbl.home;Home;
msg.seo.title;{{eventName}};
lbl.a11y.close.button;Close Button;
lbl.customize;Customize;
lbl.accept.all;Accept All;
lbl.accept.all.cookies;Accept All Cookies;
lbl.always.enabled;Always Enabled;
lbl.view.policy;View Policy;
lbl.save.my.preferences;Save My Preferences;
lbl.allow.cookie;Allow Cookies?;
lbl.basic.cookies;Basic Cookies;
lbl.more.details;Learn More;
lbl.nonfunctional.cookies;Non Functional Cookies;
msg.basic.cookies.accordionpanel;These cookies are necessary for our website to function properly. They store data when you perform certain actions like updating details or requesting for services like setting up your privacy preferences, filling up forms, or signing into the website. This option can't be switched off in our systems.;
msg.nonfunctional.cookies.accordionpanel;These cookies are necessary to identify visitors and understand their behavior on your website. They track visitors view over a period of time to find out which pages are popular. This data is collected anonymously and is used to measure and optimize your website experience.;
msg.cookie.setting.content;When you visit our website, it may store or retrieve information from your browser in the form of cookies. This information might be about you, your preferences, or device-related settings and is used to make the website work  more efficiently and give you a personalized web experience. The personal information collected is done so anonymously.;
msg.dialog.box.desc;This website utilizes cookies to improve performance and provide you with an optimized experience;
lbl.click.different.cookie.categories;Click on the Different Cookie Categories to Find out More.;
lbl.mode.of.attending;Mode of Attending;
lbl.venue.only;Venue Only;
lbl.online.only;Online Only;
lbl.venue.and.online;Venue and Online;
lbl.ticket.class.name;Ticket Class Name;
lbl.order.req.placed;Order Request Placed;
msg.order.req.succ.subtitle;Your order request has been sent and will be listed in the <i>Your order requests</i> page. You will receive an email when the event organizer responds to your request.;
msg.your.order.requests.header;Your order requests for the <strong>{eventName}</strong> event;
msg.no.orders.req.empty;There are no order requests for this event;
msg.your.orders.req.complete.empty;You have already placed an order request with <strong>{attendeeEmailAddress}</strong> for this event which was accepted by the event organizer. To view your completed order, go to the <strong>Your orders</strong> page. Use this page if you want to place another order request for someone else with a different email address.;
msg.confirm.withdraw.order.request;This action will revoke your order request for this event. If you want to attend this event again, you will have to send a new request.;
lbl.manage.registration;Manage Registration;
lbl.return.to.home;Return to Home;
msg.reg.suc.desc;Thank you for registering for the event;
lbl.reg.is.suc;Your Registration is Successful;
lbl.reg.confirmation;Registration Confirmation;
lbl.receive.ticket;Receive Tickets;
lbl.manage.tickets;Manage Tickets;
lbl.what.next;What's Next;
msg.order.reg.confirm.widget.subtitle;An order confirmation email will be sent to you along with an option to sign into the event website and you will receive further details to your email address;
msg.order.request.reg.confirm.widget.subtitle;Your order request will be reviewed and you will receive further details to your email address;
msg.order.receive.ticket.widget.subtitle;Ticket holders will receive an online copy of their tickets through email;
msg.order.request.receive.ticket.widget.subtitle;After your order is confirmed, you will receive an email with details and an option to sign into the event website. Other ticket holders in your order will also receive an online copy of their ticket via email.;
msg.order.manage.tickets.widget.subtitle;Visit the <i>Your orders</i> page when you sign in to get access to tickets and reassign them to others if needed;
msg.error.cannot.complete.payment;Sorry, you cannot complete payment now. Please contact the event organizer for more information.;
lbl.confirm.payment;Confirm Payment;
msg.payment.confirmation.desc;If you've already made the payment, please enter the transaction ID below to process your order.;
msg.transaction.id;Transaction ID;
msg.update.transaction.id;Update Transaction ID;
msg.order.prn.no.change.tooltip;You cannot change the payment reference number for this order because a partial payment has already been made using it.;
lbl.payment.verification.pending;Payment Verification Pending;
lbl.payment.verification.failed;Payment Verification Failed;
msg.prn.update.success;Transaction ID updated successfully.;
msg.prn.update.error;Error while updating the transactionId.;
msg.error.payment.reference.number.too.long;Payment Transaction ID can't be exceed 200 characters.;
format.time.space.separated;hh:mm A;
format.month.date.year;MMM DD, YYYY;
format.weekday.with.date;ddd, MMM DD, YYYY;
format.month.with.date;MMM D;
format.start.to.end;{startDate} to {endDate};
lbl.print.agenda.title;Agenda for {eventName};
lbl.page.setup;Page Setup;
lbl.landscape;Landscape;
lbl.portrait;Portrait;
lbl.a4.dimension;A4 ({dimension});
lbl.a3.dimension;A3 ({dimension});
lbl.a5.dimension;A5 ({dimension});
lbl.letter.dimension;Letter ({dimension});
lbl.legal.dimension;Legal ({dimension});
msg.added;Added;
lbl.add.to.my.sessions;Add to My Sessions;
lbl.view.all.speakers;View All Speakers;
lbl.address;Address;
lbl.assigned.tickets;Assigned Tickets;
lbl.assigned.to;Assigned To;
lbl.become.a.sponsor;Become a Sponsor;
lbl.buy.ticket;Register Now;
lbl.payment.method;Payment Method;
lbl.payment.options.not.found;Payment Options Not Found;
lbl.by.venue;By Venue;
lbl.download.my.data;Download My Data;
lbl.get.directions;Get Directions;
lbl.got.it;Got It;
lbl.have.ticket;Have a Ticket?;
lbl.logo.url;Logo URL;
lbl.no.thnks;No,Thanks;
lbl.pick.session;Pick Session;
lbl.raise.request;Raise Request;
lbl.requested;Requested;
lbl.reassign;Reassign;
lbl.request.data;Request a Copy of Your Data;
lbl.request.data.delete;Request to Delete Your Data;
lbl.show.less;Show Less;
lbl.sold.out;Sold Out;
lbl.ticket.type;Ticket Type;
lbl.ticket.details;Ticket Details;
lbl.tkt.purchased;Ticket Purchased;
lbl.view.details;View Details;
lbl.view.sessions;View Agenda;
lbl.view.sponsors;View Sponsors;
lbl.view.speakers;View Speakers;
lbl.visit.us;Visit Us;
lbl.speakers.sessions;Speaker's Sessions;
lbl.deleted.speaker;Deleted Speaker;
lbl.your.orders;Your Orders;
lbl.your.tickets;Your Tickets;
lbl.your.sessions;Your Sessions;
lbl.your.order.requests;Your Order Requests;
lbl.reason.for.reject;Reason for Denying Request;
lbl.request.by;Requested By;
lbl.status;Status;
lbl.rejected;Rejected;
lbl.placed;Placed;
lbl.withdraw.order.request;Withdraw Order Request;
lbl.view.reason;View Reason;
lbl.no.sessions;No Sessions;
lbl.session.tracks;Session Tracks;
lbl.session.track;Session Track;
lbl.session.types;Session Types;
lbl.session.type;Session Type;
lbl.session.details;Session Details;
lbl.event.agenda;Event Agenda;
msg.agenda.tba;We'll display the event agenda soon;
msg.sh.exhibitors;Apply to exhibit with us. Our team will get in touch with you to discuss your goals.;
lbl.configure.exhibitors;Configure Exhibitors;
lbl.configure.exhibitor.category;Configure Exhibitor Category;
msg.exhibitors.empty;There are no exhibitors in this event;
msg.configure.exhibitors.for.event;Configure the exhibitors for the event;
lbl.apply.to.exhibit;Apply to Exhibit;
lbl.exhibitors.listing;Exhibitors Listing;
lbl.become.an.exhibitor;Become an Exhibitor;
lbl.request.booth;Request This Booth;
lbl.exhibitor.category;Exhibitor Category;
lbl.exhibitor.categories;Exhibitor Categories;
msg.sh.exhibitor.category.description;Exhibitor categories and their benefits will be displayed here;
lbl.all.exhibitors;All Exhibitors;
lbl.my.list;My List;
lbl.for.exhibitors;For Exhibitors;
lbl.share.contact.details;Share Contact Details;
msg.share.mobile.number;Share my phone number;
msg.share.details.modal.desc;On entering this booth, your name, email address, designation, and company information will be shared with the exhibitor.;
msg.exhibitor.inquiry.info;You can edit or delete your inquiries from this page at any time before the event ends.;
lbl.edit;Edit;
lbl.add.session.note;Add Session Notes;
lbl.add.exhibitor.note;Add Exhibitor Notes;
lbl.add.speaker.note;Add Speaker Notes;
msg.configure.meeting.slot.for;Configure meeting slot for {day};
lbl.delete.meeting.availability;Delete Meeting Availability;
lbl.lounges;Lounges;
lbl.all.lounges;All Lounges;
lbl.lounge.background;Lounge Background;
lbl.no.appointments.booked;No Appointments Booked;
msg.error.lead.first.name.empty;Please enter the first name;
msg.error.user.first.name.invalid;First name can't include < and >;
msg.error.user.first.name.too.long;First name can't exceed 50 characters;
msg.error.user.last.name.too.long;Last name can't exceed 50 characters;
msg.error.user.last.name.invalid;Last name can't include < and >;
msg.error.lead.contact.number.empty;Please enter the contact number;
msg.error.user.contact.number.invalid;The contact number can include only numbers;
msg.error.user.contact.number.too.long;Contact number can't exceed 15 characters;
msg.error.user.designation.too.long;Designation can't exceed 50 characters;
msg.error.user.designation.invalid;Designation can't include < and >;
msg.error.user.organization.name.too.long;Organization name can't exceed 50 characters;
msg.error.user.organization.name.invalid;Organization name can't include < and >;
msg.error.user.msg.invalid;The message can't include < and >;
msg.error.user.msg.too.long;User message can't exceed 1000 characters;
msg.could.not.find.match.for.search.criteria;We couldn't find anything matching your search criteria.;
lbl.enter.booth;Enter Booth;
lbl.no.results.found;No Results Found;
msg.exhibitor.no.description;No description added;
lbl.active.exhibitors;Active Exhibitors;
msg.back.to.exhibitors;Back to all exhibitors;
msg.view.all.exhibitors;View all exhibitors;
msg.add.to.my.list;Add to my list;
msg.floor.plan.description;Refer to the floor plan to choose your booth for exhibitions;
msg.book.appointment;Book appointment;
msg.book.appointment.starts.from;You can book appointment with exhibitors from {startDate};
msg.book.meeting;Book a meeting;
lbl.company.overview;Company Overview;
lbl.length;Length;
lbl.breadth;Breadth;
lbl.height;Height;
msg.booth.category.empty;No exhibitor categories configured yet;
msg.floor.plan.empty;No floor plan uploaded yet;
msg.exhibit.request.sent;Your request has been sent;
msg.notification.exhibit.request;The event organizer will get in touch regarding your request to exhibit at the event through email;
lbl.expo.space;Exhibitor Space;
lbl.go.exhibitor.space;Go to Exhibitor Space;
lbl.share.details.join;Share Details and Join;
msg.privileges;Privileges;
msg.remove.from.my.list;Remove from my list;
lbl.active;Active;
lbl.exhibitor.passes;Exhibitor Passes;
lbl.online.exhibitor.pass;Online Exhibitor Pass;
lbl.lead.generation.license;Lead Generation License;
msg.interested.expo.empty;There are no exhibitors on your list;
msg.interested.exhibitor.login;Sign in to meet with exhibitors.;
msg.err.company.logo.url.cant.find;Image not found. Please ensure the image is public. If your image is protected by a password, or on an internal network, Backstage cannot access it.;
lbl.booth.no;Booth No;
lbl.videos;Videos;
lbl.collaterals;Collaterals;
msg.announcements.ews.visit;Visit the event website to get announcements and updates;
msg.announcements.sign.in;Sign in to see important announcements;
msg.app;Download the app;
msg.app.preview.sign.in;Sign in to preview this event;
msg.app.scan.qrcode;Open the app and scan the QR code;
msg.attendee.enroll.success;We've assigned your tickets to the correct attendees and sent each one an invitation to register on the event website;
msg.channel.create.fail;Sorry, we couldn't create the channel due to a temporary issue. Please try again later.;
msg.channel.desc;Write a short description of the purpose of this channel;
msg.channel.private.desc;Restricted to invited members only;
msg.channel.public.desc;Anyone can join and participate in this channel;
msg.spnsr.ctgry.pick;Choose the sponsor category that best suits your needs;
msg.copyright.content;{eventYear} {portalName} | Zoho Corporation Pvt. Ltd. All Rights Reserved.;
msg.download.attendee.app;Download the attendee app;
msg.dscns.buy.ticket.to.join;Buy a ticket to join event-related discussions;
msg.dscns.login;Meet others and join discussions if you have a ticket;
msg.dscns.no.ticket;Hello {userName}, this space is for attendees to join channels and engage in discussions.;
msg.err.attendee.enroll;One or more of your friends already has a ticket;
msg.err.chat.upload;Oops, we couldn't attach an image to your message. Please try again in a couple of seconds.;
msg.err.chnl.loading;Sorry, we could not fetch your discussion channels. Please refresh the page to try again.;
msg.file.desktop.upload;*A file has been shared with you;
msg.gallery.back;Back to gallery;
msg.gallery.cmnt.text;Say something nice...;
msg.gallery.img.del;File deleted;
msg.gallery.img.fail;File upload failed;
msg.gallery.imgs.fail;Files couldn't be uploaded. Kindly try after a while.;
msg.gallery.img.upld;File uploaded;
msg.gallery.imgs.del;{number} Files deleted;
msg.gallery.imgs.upld;Multiple files uploaded;
msg.gallery.imgs.upld.fail;Some files couldn't be uploaded;
msg.get.in.touch;Get in touch;
msg.img.delete.confirm;This action will remove the file from the gallery permanently.;
msg.imgs.delete.confirm;This action will remove the files from the gallery permanently.;
success.response.submitted;Response submitted;
msg.my.session.login;Sign in to start personalizing your agenda;
msg.people.multiple.typing;{user1}, {user2} and {count} others are typing...;
msg.people.multiple.uploading;{user1}, {user2} and {count} others are uploading...;
msg.people.two.typing;{user1} and {user2} are typing...;
msg.people.two.uploading;{user1} and {user2} are uploading...;
msg.person.typing;{user} is typing...;
msg.person.uploading;{user} is uploading...;
msg.reassign.tickets.mobile.help.text;"You have {extraTicketCount} more tickets. To assign tickets to other people, please visit the event <a href=""{siteUrl}"">website</a>.";
msg.sales.not.started;Sales haven't started yet;
msg.session.filter.empty;No sessions match this filter;
msg.speaker.sessions.empty;No sessions associated to you yet;
msg.error.loading.speaker.sessions;Sorry, your sessions could not be loaded. Please login if not logged in and refresh the page to try again.;
msg.session.venue.tba;Venue: TBA;
msg.sessions;Featured sessions;
msg.sessions.empty.today;No sessions scheduled for this day;
msg.sh.es.evt.description;Wondering what to expect? We'll tell you shortly.;
msg.sh.es.featured.speakers;Our exciting speaker lineup will be announced soon;
msg.sh.es.featured.sessions;Stay tuned for interesting picks from our schedule.;
msg.sh.es.gallery;We'll share pictures from <strong>{eventName}</strong> soon. Keep an eye on this space.;
msg.sh.es.custom.page;This page hasn't been updated yet;
msg.sh.es.login;Interested in attending the event?;
msg.sh.es.sessions;The schedule will be up in a short while. Stay tuned!;
msg.sh.es.speakers;Our speaker lineup will be announced soon;
msg.sh.es.sponsors;Our sponsor lineup will be announced soon;
msg.sh.es.participants;Participants from the event will be listed here;
lbl.company.name;Company Name;
lbl.company;Company;
msg.sh.es.venue;We've almost finalized our venue. Watch this spot.;
msg.venue.location.meta;{city}, {state} - {country};
msg.sh.get.in.touch;Got questions? Write to us.;
msg.thank.support;Thank you for your support;
msg.thank.sponsor.request.interest.sub.header;We've received your sponsor request. Our team will get back to you shortly. Thank you for your patience!;
msg.tickets.evt.none;You haven't purchased tickets for this event;
msg.tickets.sales.yet.start;Ticket sales for {eventName} haven't started yet;
msg.tkt.atndee.anon.thnk;Hello <b>{userName}</b>, thank you for reserving your seat at <b>{eventName}</b>. An account has been created for the email address <b>{userEmailId}</b>.<br><br>Check your inbox and verify your email address to personalize your agenda and receive important announcements.;
msg.tkt.atndee.enter.email;Enter attendee email address;
msg.tkt.atndee.logd.in.thnk;Hello <b>{userName}</b>, thank you for buying a ticket to <b>{eventName}</b>. Head over to <i>Your Tickets</i> to view the details at any time.<br><br>Meanwhile, would you like to personalize your agenda?;
msg.tkt.purchaser.anon.thnk;Hello <b>{userName}</b>, your ticket order for <b>{eventName}</b> has been placed. Each guest should verify their email address and check their inbox for event-related announcements.<br><br>If you'd like to reassign these tickets to someone else, please log in to the event website.;
